Unnamed: 0;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.97;0.76;1.27;0.93;2.03;1.62;1.44;1.89;2.23;2.17;1.56;0.62;-0.03;0.02;1.34;4.58;4.98
&nbspP/L;33.05;26.77;19.13;9.86;12.05;13.45;10.29;9.46;6.47;5.10;4.79;16.69;-480.42;883.59;22.23;6.44;4.61
&nbspVPA;7.38;5.78;6.38;6.77;9.72;11.07;11.99;13.09;15.21;16.63;17.62;16.93;15.92;13.85;12.95;14.50;15.01
&nbspP/VP;4.34;3.53;3.79;1.36;2.52;1.97;1.24;1.37;0.95;0.67;0.43;0.61;0.83;1.12;2.29;2.03;1.53
&nbspP/EBIT;30.70;29.14;17.93;7.21;10.48;12.32;8.34;8.00;5.74;4.41;4.22;17.11;310.86;116.70;20.12;5.35;3.89
&nbspP/EBITDA;0.00;28.56;17.53;8.37;10.27;11.43;7.98;7.00;5.22;4.04;3.75;12.20;73.08;54.35;17.86;5.22;3.82
&nbspP/Ativos;2.68;2.38;1.82;0.43;0.98;0.77;0.45;0.53;0.41;0.32;0.22;0.35;0.51;0.63;1.19;1.03;0.79
&nbspEbitda;0;253;491;391;1008;808;764;1053;1122;1049;758;337;72;114;665;2256;2403
&nbspMarg. Ebitda;0%;23%;29%;14%;25%;17%;12%;18%;21%;18%;17%;11%;3%;4%;17%;59%;59%
&nbspPSR;6.92;6.48;5.04;1.15;2.53;1.89;0.99;1.26;1.08;0.73;0.65;1.28;1.98;1.97;3.02;3.08;2.26
&nbspROE;13%;13%;20%;14%;21%;15%;12%;14%;15%;13%;9%;4%;0%;0%;10%;32%;33%
&nbspROA;8%;9%;10%;4%;8%;6%;4%;6%;6%;6%;5%;2%;0%;0%;5%;16%;17%
&nbspROIC;9%;9%;10%;6%;10%;7%;6%;8%;8%;8%;7%;2%;0%;1%;7%;23%;25%
&nbspEV/EBIT;61.28;37.36;20.75;24.69;11.92;15.63;17.61;12.63;11.54;12.23;15.94;45.98;616.07;190.74;17.43;4.54;4.18
&nbspEV/EBITDA;0.00;36.61;20.29;28.66;11.67;14.51;16.85;11.04;10.51;11.20;14.16;32.78;144.83;88.82;15.47;4.43;4.10
&nbspDiv. Yield;0,00%;2,21%;1,07%;0,43%;0,78%;2,15%;2,29%;1,62%;3,47%;0,00%;0,00%;2,73%;0,68%;7,24%;6,13%;1,05%;5,88%
&nbspDiv. Payout;0%;27%;13%;0%;0%;0%;24%;15%;23%;20%;26%;43%;-318%;6.143%;149%;61%;57%
&nbspBeta;0.75;1.10;1.10;1.31;1.45;1.28;1.36;1.37;0.78;0.86;0.67;0.98;1.26;1.14;1.09;1.46;1.34
&nbspValorização;277%;31%;20%;-61%;154%;-8%;-30%;18%;-18%;-21%;-28%;45%;30%;26%;101%;-4%;-16%
&nbspNegócios/dia;133;338;1288;2462;4424;6024;8259;8656;8756;8157;7034;7651;7096;9643;13057;28763;23516
&nbspVolume diário;12;17;35;44;54;71;77;60;53;39;25;26;26;37;78;175;159
