Unnamed: 0;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.32;0.21;0.31;1.01;-0.19;1.50;0.43;0.47;0.28;0.43;0.27;0.08;0.31;0.44;0.60;0.42;-0.31;-0.17
&nbspP/L;-75.37;212.00;145.58;36.52;-117.31;38.04;52.61;32.98;47.10;34.01;40.73;120.77;57.35;63.07;45.02;138.74;-237.09;-361.13
&nbspVPA;4.55;4.96;8.17;8.94;8.36;9.39;2.68;8.18;8.39;8.72;8.92;8.97;9.20;10.64;10.65;10.36;7.36;7.34
&nbspP/VP;5.25;8.77;5.59;4.13;2.69;6.07;8.40;1.89;1.57;1.67;1.25;1.13;1.92;2.58;2.54;5.57;9.86;8.39
&nbspP/EBIT;128.12;55.52;55.75;40.73;16.33;22.10;17.60;12.87;16.66;15.60;13.90;19.62;18.35;25.45;24.33;45.67;208.70;146.60
&nbspP/EBITDA;0.00;19.67;19.18;11.90;5.26;12.94;13.40;9.62;10.31;10.41;8.27;9.09;77.74;15.22;13.90;21.28;37.39;25.40
&nbspP/Ativos;2.41;3.93;2.57;1.74;0.70;2.02;2.65;1.12;0.96;0.96;0.75;0.67;1.07;1.37;1.17;2.06;2.61;2.11
&nbspEbitda;0;119;137;178;245;253;385;500;398;434;418;345;71;563;605;854;932;1166
&nbspMarg. Ebitda;0%;22%;20%;21%;22%;18%;26%;23%;18%;17%;16%;12%;2%;17%;15%;20%;13%;15%
&nbspPSR;2.87;4.42;3.91;2.47;1.13;2.36;3.43;2.21;1.81;1.82;1.28;1.12;1.81;2.52;2.14;4.16;4.95;3.72
&nbspROE;-7%;4%;4%;11%;-2%;16%;16%;6%;3%;5%;3%;1%;3%;4%;6%;4%;-4%;-2%
&nbspROA;-3%;2%;2%;5%;-1%;5%;5%;3%;2%;3%;2%;1%;2%;2%;3%;1%;-1%;-1%
&nbspROIC;2%;7%;5%;4%;4%;9%;19%;10%;6%;7%;6%;4%;7%;6%;6%;5%;2%;2%
&nbspEV/EBIT;2997.23;714.10;642.13;581.64;390.55;206.32;103.40;81.97;124.74;105.88;123.00;191.32;101.76;92.10;90.47;79.86;201.58;165.11
&nbspEV/EBITDA;0.00;252.99;220.92;169.90;125.75;120.80;78.74;61.28;77.19;70.70;73.20;88.66;431.03;55.10;51.70;37.22;36.11;28.61
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,03%;1,02%;0,72%;0,58%;0,65%;0,23%;0,48%;0,90%;0,59%;0,56%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;-118%;0%;23%;18%;41%;15%;36%;73%;23%;26%;94%;120%;-139%;-41%
&nbspBeta;0.17;0.29;0.75;0.70;0.61;0.58;0.41;0.43;0.56;0.64;0.25;0.16;-0.13;0.34;0.27;0.09;0.06;0.39
&nbspValorização;0%;73%;6%;-19%;-39%;153%;57%;-30%;-17%;5%;-22%;0%;74%;60%;-4%;106%;26%;-13%
&nbspNegócios/dia;156;91;164;232;181;347;1293;2888;5005;5372;489;58;15;3;3;1;4;619
&nbspVolume diário;7;5;6;10;9;12;19;26;31;24;6;0;0;0;0;0;0;13
