Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.65;1.25;1.19;1.50;1.54;1.51;1.07;0.00;-0.94;-0.47;0.82;0.98;1.11
&nbspP/L;17.67;10.78;8.00;9.43;7.77;5.36;3.29;0.00;-6.04;-15.98;18.19;13.39;12.94
&nbspVPA;5.10;6.20;8.04;9.23;10.48;11.32;12.15;11.94;10.95;9.08;9.25;8.73;8.79
&nbspP/VP;2.25;2.18;1.18;1.53;1.15;0.72;0.29;0.38;0.52;0.83;1.62;1.50;1.64
&nbspP/EBIT;17.47;11.32;8.13;9.64;7.08;5.09;3.15;166.80;-6.27;-38.35;11.50;9.09;8.74
&nbspP/EBITDA;16.66;10.90;7.74;9.26;6.68;4.72;2.50;23.39;-7.60;-107.70;9.69;7.64;7.48
&nbspP/Ativos;1.40;1.07;0.59;0.72;0.53;0.31;0.13;0.16;0.20;0.25;0.48;0.39;0.43
&nbspEbitda;91;165;188;235;275;263;206;29;-109;-11;229;263;296
&nbspMarg. Ebitda;24%;21%;18%;17%;16%;14%;13%;2%;-14%;-1%;16%;18%;18%
&nbspPSR;4.03;2.30;1.36;1.59;1.05;0.68;0.33;0.49;1.10;0.99;1.52;1.34;1.36
&nbspROE;13%;20%;15%;16%;15%;13%;9%;0%;-9%;-5%;9%;11%;13%
&nbspROA;8%;10%;7%;8%;7%;6%;4%;0%;-3%;-2%;3%;3%;3%
&nbspROIC;8%;11%;9%;9%;9%;8%;5%;0%;-4%;-1%;5%;5%;6%
&nbspEV/EBIT;27.35;14.90;13.29;11.40;10.06;10.41;15.91;648.87;-20.20;-79.82;12.44;10.86;9.33
&nbspEV/EBITDA;26.08;14.35;12.64;10.95;9.49;9.64;12.61;90.98;-24.50;-224.16;10.49;9.13;7.98
&nbspDiv. Yield;0,00%;1,04%;3,16%;1,91%;3,00%;7,52%;12,82%;5,92%;0,00%;8,13%;5,87%;6,19%;10,40%
&nbspDiv. Payout;0%;11%;22%;18%;24%;40%;43%;0%;0%;0%;106%;80%;70%
&nbspBeta;-0.07;0.24;0.65;0.63;0.59;0.74;0.62;0.85;1.24;0.68;0.73;0.96;1.14
&nbspValorização;7%;19%;-26%;52%;-13%;-24%;-52%;40%;23%;41%;99%;-11%;14%
&nbspNegócios/dia;51;17;149;273;1805;1936;1640;1501;2743;2633;3279;5552;5383
&nbspVolume diário;2;0;1;3;9;6;4;3;5;5;8;19;20
