Unnamed: 0;2017;2018;2019;2020;2021
&nbspLPA;-0.73;-0.25;-0.46;-1.06;0.18
&nbspP/L;-1.42;-3.95;-6.33;-1.31;5.25
&nbspVPA;0.15;-0.14;-1.78;-2.45;-2.46
&nbspP/VP;7.07;-7.04;-1.64;-0.57;-0.37
&nbspP/EBIT;-3.41;-5.25;-9.20;-2.39;2.67
&nbspP/EBITDA;-3.47;-5.53;-34.83;-3.36;1.72
&nbspP/Ativos;2.06;4.14;0.59;1.48;1.25
&nbspEbitda;-798;-479;-23;-127;165
&nbspMarg. Ebitda;-187%;-89%;-5%;-38%;64%
&nbspPSR;6.51;4.92;1.81;1.29;1.10
&nbspROE;-498%;178%;26%;43%;-7%
&nbspROA;-145%;-105%;-9%;-113%;24%
&nbspROIC;-65%;-113%;-7%;-389%;216%
&nbspEV/EBIT;-0.30;-0.26;-11.04;-1.12;2.39
&nbspEV/EBITDA;-0.31;-0.28;-41.79;-1.57;1.54
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%
&nbspBeta;1.57;0.26;0.22;1.12;1.23
&nbspValorização;-30%;-6%;-70%;-51%;-34%
&nbspNegócios/dia;655;1780;1407;4753;3750
&nbspVolume diário;3;6;3;13;11
