Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.25;1.02;0.69;0.84;0.86;0.60;0.29;0.04;0.27;0.63;0.59;0.66;0.83
&nbspP/L;65.65;17.43;12.97;17.69;15.27;13.48;20.38;180.93;34.40;18.86;28.42;29.04;27.95
&nbspVPA;5.18;7.54;6.74;7.32;7.23;6.95;6.96;6.61;6.82;6.70;7.13;7.50;7.26
&nbspP/VP;3.13;2.37;1.32;2.03;1.82;1.16;0.85;1.03;1.35;1.77;2.35;2.55;3.20
&nbspP/EBIT;43.64;11.41;8.47;11.77;9.93;8.57;12.00;14.84;15.12;11.15;18.07;19.67;19.26
&nbspP/EBITDA;24.53;7.51;4.86;6.84;5.57;4.34;4.29;5.22;6.45;5.29;8.51;11.46;11.89
&nbspP/Ativos;1.71;1.32;0.72;1.05;0.97;0.61;0.43;0.50;0.67;0.85;1.08;1.15;1.43
&nbspEbitda;302;1088;1007;1193;1425;1228;911;901;987;1546;1359;1156;1354
&nbspMarg. Ebitda;21%;40%;34%;35%;37%;31%;23%;23%;25%;31%;27%;20%;21%
&nbspPSR;5.16;2.98;1.65;2.40;2.05;1.34;0.99;1.20;1.60;1.65;2.31;2.25;2.48
&nbspROE;5%;14%;10%;11%;12%;9%;4%;1%;4%;9%;8%;9%;11%
&nbspROA;3%;8%;6%;6%;6%;4%;2%;0%;2%;5%;4%;4%;5%
&nbspROIC;4%;13%;10%;11%;11%;8%;4%;4%;5%;9%;7%;8%;9%
&nbspEV/EBIT;101.88;23.59;29.64;24.94;21.73;28.40;54.68;56.63;42.78;23.99;27.53;25.84;21.46
&nbspEV/EBITDA;57.27;15.53;16.99;14.49;12.19;14.37;19.56;19.92;18.25;11.39;12.96;15.05;13.25
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,58%;0,00%;1,09%;6,76%;0,00%;3,55%;1,33%
&nbspDiv. Payout;39%;24%;42%;26%;37%;53%;70%;404%;3%;14%;134%;56%;90%
&nbspBeta;1.08;0.85;1.09;0.77;0.68;0.83;0.83;0.93;1.13;1.06;0.82;1.18;0.61
&nbspValorização;34%;5%;-39%;62%;-3%;-30%;-20%;20%;40%;35%;38%;12%;23%
&nbspNegócios/dia;2116;2320;2926;4059;5017;5882;5075;4837;5409;4629;4937;11390;10858
&nbspVolume diário;19;21;17;18;26;19;11;13;18;19;23;53;55
