Unnamed: 0;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.28;0.79;1.19;1.41;1.50;1.61;1.71;1.74;1.86;2.22;2.30;2.20;2.12;2.30;2.37;3.07;2.84;2.83;3.43;3.45
&nbspP/L;-12.48;10.09;8.23;10.65;11.98;13.27;10.84;12.37;14.77;13.49;14.50;16.30;15.94;14.54;14.74;11.55;11.63;17.92;12.81;11.47
&nbspVPA;4.23;3.98;4.27;4.11;4.23;4.31;4.86;5.64;7.77;8.35;8.37;8.22;8.66;10.18;10.13;10.47;7.75;8.58;9.49;9.92
&nbspP/VP;0.83;2.01;2.30;3.66;4.25;4.94;3.82;3.82;3.53;3.59;3.99;4.37;3.91;3.29;3.45;3.39;4.26;5.92;4.63;3.99
&nbspP/EBIT;6.04;7.51;6.16;8.14;8.49;8.58;6.32;7.65;8.33;8.12;8.54;9.82;9.58;8.73;9.43;8.13;7.35;9.65;6.44;5.40
&nbspP/EBITDA;0.00;0.00;0.00;0.00;7.88;7.49;5.55;6.45;6.86;6.72;7.00;7.90;7.63;7.04;7.49;6.62;6.23;8.04;5.00;4.26
&nbspP/Ativos;0.34;0.85;1.03;1.72;2.12;2.11;1.45;1.46;1.39;1.58;1.78;1.85;1.62;1.43;1.58;1.18;1.14;1.38;1.02;0.90
&nbspEbitda;0;0;0;0;1491;1856;2180;2178;2611;2910;3108;2970;2895;3104;3052;3499;4327;5158;7176;7582
&nbspMarg. Ebitda;0%;0%;0%;0%;55%;61%;63%;62%;64%;67%;63%;53%;45%;48%;47%;50%;49%;53%;59%;59%
&nbspPSR;1.66;2.86;2.59;3.78;4.34;4.57;3.52;4.02;4.37;4.52;4.43;4.21;3.41;3.36;3.55;3.31;3.06;4.23;2.92;2.50
&nbspROE;-7%;20%;28%;34%;35%;37%;35%;31%;24%;27%;27%;27%;24%;23%;23%;29%;37%;33%;36%;35%
&nbspROA;-3%;8%;13%;16%;18%;16%;13%;12%;9%;12%;12%;11%;10%;10%;11%;10%;10%;8%;8%;8%
&nbspROIC;6%;12%;17%;22%;26%;26%;24%;20%;19%;21%;23%;22%;20%;20%;20%;17%;18%;17%;19%;19%
&nbspEV/EBIT;95.67;51.02;33.91;28.77;24.92;21.60;18.90;19.93;16.97;14.98;13.96;14.86;15.48;14.00;14.24;13.34;11.05;10.27;8.16;7.81
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;23.13;18.87;16.60;16.82;13.97;12.40;11.44;11.95;12.32;11.29;11.30;10.87;9.36;8.55;6.33;6.16
&nbspDiv. Yield;4,29%;7,99%;7,96%;9,10%;8,50%;6,62%;10,03%;3,86%;3,32%;5,47%;4,44%;6,79%;4,82%;3,64%;5,63%;7,66%;7,84%;3,17%;3,91%;6,24%
&nbspDiv. Payout;0%;0%;0%;0%;45%;90%;99%;44%;44%;69%;95%;112%;78%;47%;75%;42%;86%;98%;44%;55%
&nbspBeta;0.53;0.37;0.78;0.79;0.58;0.78;0.48;0.26;0.23;0.25;-0.04;0.39;0.71;0.76;0.57;0.55;0.51;0.75;0.57;0.59
&nbspValorização;-9%;147%;21%;81%;30%;30%;-1%;19%;32%;19%;16%;15%;-3%;6%;13%;10%;22%;54%;-12%;-7%
&nbspNegócios/dia;79;82;106;139;227;360;763;1316;1471;2027;3051;2965;3822;4133;5357;4894;5120;6720;9617;8596
&nbspVolume diário;1;1;1;3;8;11;15;14;14;14;23;23;27;28;34;31;39;60;81;68
