Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.10;2.26;2.78;-5.12;-4.65;-2.19;-11.05;2.60;-1.27;9.87;7.94;4.07;4.90
&nbspP/L;32.92;9.86;6.41;-1.24;-1.26;-2.65;-0.52;8.78;-15.17;2.46;4.76;9.00;8.94
&nbspVPA;61.27;62.29;57.08;49.74;44.87;42.03;30.86;32.58;31.61;41.41;52.78;47.01;46.58
&nbspP/VP;0.59;0.36;0.31;0.13;0.13;0.14;0.19;0.70;0.61;0.59;0.72;0.78;0.94
&nbspP/EBIT;10.16;5.71;5.22;-1.08;-1.53;-4.01;-0.62;1.72;5.24;1.79;6.05;6.67;7.09
&nbspP/EBITDA;7.25;4.19;3.80;-1.39;-2.15;-43.75;-0.73;1.56;3.88;1.64;4.98;5.49;6.00
&nbspP/Ativos;0.30;0.17;0.15;0.05;0.06;0.05;0.05;0.18;0.15;0.18;0.29;0.32;0.39
&nbspEbitda;5676;6004;6350;-6173;-3690;-179;-10702;19797;6744;19990;10257;10487;11460
&nbspMarg. Ebitda;22%;20%;19%;-16%;-13%;-1%;-33%;33%;18%;80%;37%;36%;38%
&nbspPSR;1.59;0.84;0.73;0.22;0.28;0.26;0.24;0.51;0.69;1.31;1.84;1.98;2.27
&nbspROE;2%;4%;5%;-10%;-10%;-5%;-36%;8%;-4%;24%;15%;9%;11%
&nbspROA;1%;2%;2%;-4%;-5%;-2%;-10%;2%;-1%;7%;6%;4%;4%
&nbspROIC;3%;4%;3%;-5%;-4%;-2%;-10%;12%;3%;11%;5%;5%;6%
&nbspEV/EBIT;21.13;20.15;21.20;-13.82;-18.53;-54.54;-8.87;6.19;21.95;6.52;12.68;11.84;10.22
&nbspEV/EBITDA;15.09;14.81;15.45;-17.79;-26.07;-595.29;-10.40;5.61;16.25;5.97;10.44;9.74;8.64
&nbspDiv. Yield;4,24%;52,97%;4,88%;20,22%;6,98%;7,07%;0,00%;0,00%;0,00%;0,00%;2,14%;7,01%;11,32%
&nbspDiv. Payout;111%;123%;108%;-73%;-67%;-27%;0%;0%;-22%;0%;11%;0%;0%
&nbspBeta;0.50;0.67;0.69;0.48;1.38;1.42;1.08;1.00;1.68;1.84;1.52;1.30;1.12
&nbspValorização;41%;-16%;-18%;-61%;-6%;11%;2%;320%;-14%;29%;32%;0%;32%
&nbspNegócios/dia;2323;2439;2728;4288;5319;5605;4994;6459;7859;11345;16882;21566;25989
&nbspVolume diário;31;30;22;21;15;17;12;32;44;74;151;190;291
