Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;3.12;0.93;1.35;1.94;1.67;0.83;1.76;1.02;0.87;0.90;0.62;1.27;0.83;0.24;0.85;1.08;1.13;0.38;0.80;1.15;-0.87;-1.75;-4.86;-3.80
&nbspP/L;3.34;9.65;9.16;6.44;7.68;23.38;8.96;17.70;25.37;22.43;14.20;7.48;14.18;48.91;17.09;17.52;21.69;78.90;20.01;17.42;-25.02;-11.29;-1.82;-4.89
&nbspVPA;8.61;1.45;2.86;3.98;4.70;5.26;6.24;6.74;7.02;7.29;8.48;7.16;7.21;8.08;9.43;11.64;13.97;20.36;17.35;18.68;20.61;19.68;20.62;21.50
&nbspP/VP;1.21;6.21;4.32;3.14;2.72;3.67;2.53;2.67;3.14;2.76;1.04;1.33;1.64;1.46;1.53;1.62;1.75;1.48;0.92;1.07;1.05;1.00;0.43;0.87
&nbspP/EBIT;2.67;7.29;6.41;3.91;4.22;11.55;6.52;16.20;30.61;28.42;5.73;9.40;12.52;16.27;8.62;8.60;13.78;20.17;16.50;13.96;155.92;-22.69;-3.90;-7.34
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.97;18.91;16.83;4.25;5.95;8.04;9.22;5.94;6.17;9.07;10.22;0.00;8.78;23.51;-75.54;-7.98;-15.52
&nbspP/Ativos;0.25;1.25;1.32;1.01;0.81;1.08;0.80;0.77;1.00;0.95;0.30;0.43;0.61;0.51;0.54;0.58;0.65;0.49;0.31;0.38;0.37;0.34;0.12;0.23
&nbspEbitda;0;0;0;0;0;0;0;1085;863;886;1500;1157;1062;923;1766;2239;1981;2176;0;1687;683;-193;-821;-888
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;12%;10%;9%;13%;11%;11%;9%;14%;16%;13%;11%;0%;9%;4%;-2%;-4%;-4%
&nbspPSR;0.32;1.29;1.32;1.13;1.18;2.10;1.11;1.42;1.96;1.49;0.54;0.64;0.91;0.86;0.86;1.01;1.20;1.10;0.55;0.79;0.86;1.40;0.33;0.62
&nbspROE;36%;64%;47%;49%;35%;16%;28%;15%;12%;12%;7%;18%;12%;3%;9%;9%;8%;2%;5%;6%;-4%;-9%;-24%;-18%
&nbspROA;7%;13%;14%;16%;11%;5%;9%;4%;4%;4%;2%;6%;4%;1%;3%;3%;3%;1%;2%;2%;-1%;-3%;-7%;-5%
&nbspROIC;10%;19%;23%;28%;21%;10%;14%;5%;4%;4%;6%;5%;7%;5%;9%;11%;7%;4%;3%;4%;0%;-2%;-4%;-4%
&nbspEV/EBIT;79.14;26.03;14.53;8.00;7.44;14.33;10.16;22.17;31.97;32.90;16.57;24.22;19.05;25.44;11.09;8.18;11.02;15.45;23.07;15.08;160.77;-14.61;-13.81;-13.42
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.38;19.75;19.48;12.30;15.31;12.23;14.42;7.65;5.87;7.25;7.83;0.00;9.49;24.24;-48.66;-28.28;-28.38
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,00%;2,18%;5,45%;2,52%;3,05%;2,13%;1,45%;1,32%;1,39%;0,60%;0,62%;1,55%;0,60%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;67%;55%;49%;94%;0%;47%;174%;20%;20%;28%;65%;17%;20%;-22%;0%;0%;0%
&nbspBeta;0.00;0.00;0.85;0.81;0.59;0.60;0.61;0.69;0.37;0.30;0.56;0.96;0.61;0.87;0.50;0.37;0.17;0.36;0.19;0.40;0.56;0.62;1.24;1.19
&nbspValorização;-14%;802%;51%;-4%;4%;52%;-19%;13%;29%;-6%;-55%;-5%;23%;1%;24%;30%;29%;22%;-45%;27%;6%;-8%;-56%;122%
&nbspNegócios/dia;5;193;106;199;126;181;211;190;462;923;1472;2732;2136;2677;4163;6396;6901;7275;8433;8397;10922;9444;21461;25717
&nbspVolume diário;1;3;3;5;2;3;3;3;12;21;19;23;18;19;28;47;46;56;52;51;76;54;111;199
