Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-1.62;-1.86;-2.93;-0.75;-1.34;-1.85;0.01;-0.46;0.30;2.82;1.90;3.19;0.82
&nbspP/L;-13.92;-14.18;-15.85;-14.86;-2.23;-0.22;16.41;-25.87;46.09;5.70;23.01;19.48;21.15
&nbspVPA;13.75;12.44;10.02;4.68;3.66;1.45;0.22;18.73;17.06;19.95;21.87;25.11;6.39
&nbspP/VP;1.64;2.12;4.64;2.38;0.82;0.28;0.63;0.64;0.81;0.81;2.00;2.47;2.70
&nbspP/EBIT;-13.26;-13.48;-18.92;-15.31;-4.94;-0.70;17.42;5.08;6.20;4.53;14.25;17.56;19.71
&nbspP/EBITDA;-13.87;-13.54;-19.41;-15.44;-7.51;-1.07;7.35;3.10;3.89;3.24;9.46;12.27;13.56
&nbspP/Ativos;0.64;0.57;0.80;0.68;0.22;0.05;0.27;0.27;0.40;0.41;0.99;1.21;1.33
&nbspEbitda;-222;-266;-328;-418;-281;-313;308;917;1125;1563;1457;1599;1606
&nbspMarg. Ebitda;-352%;-271%;-195%;-85%;-20%;-17%;20%;42%;41%;50%;46%;49%;49%
&nbspPSR;48.82;36.74;37.84;13.16;1.47;0.19;1.49;1.32;1.61;1.62;4.39;6.05;6.69
&nbspROE;-12%;-15%;-29%;-16%;-37%;-128%;4%;-2%;2%;14%;9%;13%;13%
&nbspROA;-5%;-4%;-5%;-5%;-10%;-22%;2%;-1%;1%;7%;4%;6%;6%
&nbspROIC;-7%;-5%;-5%;-5%;-5%;-7%;2%;6%;7%;11%;8%;8%;8%
&nbspEV/EBIT;-95.40;-90.77;-78.91;-65.57;-65.72;-56.17;200.67;47.22;36.12;23.17;26.78;24.42;24.53
&nbspEV/EBITDA;-99.84;-91.16;-80.95;-66.11;-100.00;-86.62;84.61;28.85;22.67;16.59;17.78;17.06;16.88
&nbspDiv. Yield;31,56%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;-22%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.57;0.62;0.65;0.55;0.60;0.52;-0.08;0.39;0.24;0.33;0.45;0.81;0.84
&nbspValorização;222%;15%;74%;-31%;-74%;-87%;-67%;-8%;17%;14%;161%;42%;10%
&nbspNegócios/dia;395;728;715;1766;3530;1866;365;208;399;1167;4846;8400;16472
&nbspVolume diário;7;12;15;21;12;4;1;0;2;5;33;86;121
