Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.27;0.18;0.19;0.27;0.16;0.25;0.26;0.11;0.33;0.65;0.29;0.89;1.05
&nbspP/L;8.31;10.66;11.67;9.12;19.23;10.11;11.42;34.25;29.59;12.45;46.72;19.18;16.42
&nbspVPA;1.02;1.08;1.19;1.36;1.47;2.41;2.48;2.76;2.77;3.33;3.56;4.14;4.61
&nbspP/VP;2.17;1.77;1.90;1.78;2.15;1.04;1.21;1.41;3.54;2.43;3.82;4.11;3.73
&nbspP/EBIT;6.10;5.76;5.85;5.32;8.70;3.23;4.64;6.05;13.62;5.12;10.55;11.42;9.87
&nbspP/EBITDA;4.59;4.13;4.46;4.17;6.31;2.00;2.56;3.71;8.26;3.85;7.06;7.85;7.11
&nbspP/Ativos;0.68;0.58;0.58;0.53;0.71;0.17;0.22;0.34;0.77;0.40;0.63;0.68;0.69
&nbspEbitda;532;508;555;640;621;1555;1565;1820;2053;3818;3500;3931;4390
&nbspMarg. Ebitda;27%;24%;23%;22%;22%;19%;13%;15%;15%;24%;18%;19%;21%
&nbspPSR;1.22;0.98;1.02;0.92;1.37;0.38;0.34;0.57;1.24;0.93;1.24;1.52;1.49
&nbspROE;26%;17%;16%;20%;11%;10%;11%;4%;12%;20%;8%;21%;23%
&nbspROA;8%;5%;5%;6%;4%;2%;2%;1%;3%;3%;1%;4%;4%
&nbspROIC;15%;12%;13%;13%;10%;6%;6%;7%;7%;9%;7%;7%;8%
&nbspEV/EBIT;44.80;49.66;43.55;37.50;42.14;23.38;26.58;19.63;18.53;9.87;13.36;11.48;10.03
&nbspEV/EBITDA;33.70;35.67;33.19;29.40;30.59;14.49;14.70;12.03;11.24;7.42;8.94;7.89;7.22
&nbspDiv. Yield;3,60%;4,71%;4,00%;4,12%;4,76%;5,60%;6,33%;2,05%;1,22%;1,98%;12,78%;0,71%;0,35%
&nbspDiv. Payout;30%;49%;45%;35%;88%;70%;77%;62%;35%;24%;85%;19%;39%
&nbspBeta;0.12;0.07;0.48;-0.04;-0.52;0.76;1.24;0.52;0.52;0.27;0.57;0.36;0.85
&nbspValorização;88%;1%;18%;11%;26%;11%;36%;44%;156%;-16%;84%;29%;1%
&nbspNegócios/dia;4;3;17;3;2;3;3;4;6;9;37;77;156
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;0
