Unnamed: 0;2020;2021
&nbspLPA;-0.21;-0.41
&nbspP/L;-61.50;-25.06
&nbspVPA;3.32;3.22
&nbspP/VP;3.84;3.22
&nbspP/EBIT;-61.50;-24.66
&nbspP/EBITDA;-78.33;-28.57
&nbspP/Ativos;3.60;2.99
&nbspEbitda;-24;-54
&nbspMarg. Ebitda;-31%;-62%
&nbspPSR;24.13;17.66
&nbspROE;-6%;-13%
&nbspROA;-6%;-12%
&nbspROIC;-221%;-371%
&nbspEV/EBIT;-34.95;-17.12
&nbspEV/EBITDA;-44.52;-19.83
&nbspDiv. Yield;0,00%;0,00%
&nbspDiv. Payout;0%;0%
&nbspBeta;0.21;0.86
&nbspValorização;24%;-18%
&nbspNegócios/dia;2638;5336
&nbspVolume diário;13;28
