Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;4.92;3.49;2.64;2.48;1.18;0.27;3.77;4.83;4.40;6.07;5.85;2.69;3.41;3.35
&nbspP/L;2.04;5.18;4.32;5.11;15.92;85.07;7.34;7.09;12.35;10.82;12.74;8.47;6.79;7.35
&nbspVPA;15.54;16.48;11.67;11.52;13.64;14.35;17.36;21.30;24.52;28.92;32.96;9.67;12.15;11.96
&nbspP/VP;0.64;1.10;0.98;1.10;1.37;1.61;1.60;1.61;2.22;2.27;2.26;2.36;1.91;2.06
&nbspP/EBIT;1.65;3.40;3.03;3.91;8.09;15.84;6.47;9.81;10.26;9.25;7.13;5.34;4.89;5.37
&nbspP/EBITDA;1.32;2.62;2.42;3.38;6.39;8.49;5.49;6.71;0.00;7.26;5.89;9.61;4.26;4.01
&nbspP/Ativos;0.21;0.37;0.38;0.41;0.37;0.50;0.49;0.54;0.76;0.75;0.58;0.61;0.53;0.59
&nbspEbitda;803;747;513;410;543;541;1002;1014;0;1797;2514;2397;5496;6213
&nbspMarg. Ebitda;34%;30%;29%;21%;18%;11%;18%;14%;0%;20%;22%;13%;31%;35%
&nbspPSR;0.45;0.78;0.69;0.70;1.16;0.97;1.01;0.95;1.38;1.44;1.32;1.22;1.31;1.40
&nbspROE;32%;21%;23%;22%;9%;2%;22%;23%;18%;21%;18%;28%;28%;28%
&nbspROA;10%;7%;9%;8%;2%;1%;7%;8%;6%;7%;5%;7%;8%;8%
&nbspROIC;14%;11%;16%;13%;6%;4%;10%;8%;10%;12%;11%;14%;14%;14%
&nbspEV/EBIT;42.50;48.11;64.76;75.48;63.28;94.17;33.11;39.18;26.09;20.19;15.63;8.51;7.50;7.66
&nbspEV/EBITDA;33.99;36.99;51.62;65.24;49.98;50.47;28.05;26.78;0.00;15.86;12.92;15.30;6.53;5.72
&nbspDiv. Yield;13,97%;0,39%;3,51%;14,21%;2,46%;0,73%;1,41%;2,42%;1,19%;0,88%;1,62%;0,00%;1,38%;1,30%
&nbspDiv. Payout;40%;76%;24%;0%;38%;111%;1%;19%;30%;22%;29%;18%;19%;19%
&nbspBeta;0.49;0.17;0.32;0.21;0.12;0.34;0.52;0.56;0.49;0.51;0.59;1.68;0.74;0.78
&nbspValorização;-39%;75%;-34%;27%;52%;22%;23%;28%;67%;21%;15%;52%;0%;8%
&nbspNegócios/dia;163;219;238;282;617;2429;2780;5407;5747;5054;5459;6674;24965;21505
&nbspVolume diário;3;3;4;2;6;16;20;55;55;64;71;113;177;185
