Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.91;0.84;1.14;1.09;1.27;1.16;0.49;0.17;-0.20;-1.54;-4.99;-0.41;3.10;4.51
&nbspP/L;5.65;10.31;10.53;8.13;6.36;7.52;6.69;12.47;-6.56;-0.60;-0.56;-10.41;4.09;4.94
&nbspVPA;2.96;4.36;4.60;4.89;5.35;5.65;2.87;2.79;2.56;0.95;0.40;-0.06;4.16;5.28
&nbspP/VP;1.73;1.98;2.61;1.82;1.51;1.55;1.13;0.75;0.51;0.97;6.96;-67.68;3.04;4.22
&nbspP/EBIT;3.94;7.30;8.66;6.75;4.65;5.43;4.51;4.07;-33.75;-0.72;-0.79;3.66;3.46;4.17
&nbspP/EBITDA;3.43;6.26;7.57;5.69;3.93;4.39;3.52;2.84;7.54;-0.85;-0.91;2.42;3.14;3.91
&nbspP/Ativos;1.05;1.35;1.62;1.15;0.90;0.94;0.65;0.40;0.28;0.29;0.15;0.25;0.88;1.38
&nbspEbitda;133;124;142;140;184;178;166;132;31;-193;-92;56;208;295
&nbspMarg. Ebitda;25%;21%;19%;17%;20%;19%;17%;14%;4%;-29%;-17%;11%;30%;35%
&nbspPSR;0.84;1.33;1.42;0.97;0.80;0.82;0.59;0.38;0.29;0.25;0.16;0.28;0.96;1.37
&nbspROE;31%;19%;25%;22%;24%;21%;17%;6%;-8%;-162%;-1.242%;650%;74%;85%
&nbspROA;19%;13%;15%;14%;14%;12%;10%;3%;-4%;-49%;-26%;-2%;21%;28%
&nbspROIC;30%;26%;23%;20%;23%;19%;16%;11%;-1%;-45%;-20%;8%;31%;50%
&nbspEV/EBIT;10.48;10.32;9.28;10.07;7.64;8.63;9.98;14.71;-189.31;-5.60;-12.54;35.46;6.31;3.71
&nbspEV/EBITDA;9.11;8.86;8.12;8.48;6.47;6.98;7.78;10.29;42.29;-6.62;-14.41;23.47;5.74;3.48
&nbspDiv. Yield;17,22%;8,80%;6,83%;10,22%;9,88%;9,27%;20,62%;14,35%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;79%;73%;70%;83%;61%;66%;79%;163%;-17%;0%;0%;0%;0%;0%
&nbspBeta;0.52;0.33;0.52;0.48;0.40;0.34;0.32;0.42;0.35;0.62;0.32;0.53;1.16;0.70
&nbspValorização;-18%;87%;55%;-14%;-2%;17%;-18%;-28%;-33%;-34%;-50%;43%;195%;70%
&nbspNegócios/dia;250;120;109;140;276;295;233;333;298;380;341;347;2991;6516
&nbspVolume diário;3;1;1;1;1;1;0;0;1;1;1;1;18;64
