Unnamed: 0;2009;2010;2011;2012;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;2.15;1.33;0.98;0.97;0.12;0.38;0.45;0.31;0.72;1.55;1.75
&nbspP/L;1.91;6.78;6.19;7.32;83.78;10.80;15.41;30.34;88.33;14.92;12.29
&nbspVPA;9.09;10.11;10.76;11.53;12.66;12.97;13.36;13.63;14.32;15.99;16.69
&nbspP/VP;0.45;0.89;0.56;0.62;0.79;0.31;0.52;0.70;4.46;1.45;1.29
&nbspP/EBIT;1.67;4.90;3.56;3.81;8.95;4.91;7.80;8.07;44.50;11.02;8.37
&nbspP/EBITDA;1.56;3.80;3.58;3.80;9.02;4.93;7.81;7.82;43.62;7.79;6.17
&nbspP/Ativos;0.28;0.52;0.33;0.37;0.46;0.19;0.32;0.40;2.57;0.79;0.72
&nbspEbitda;243;219;157;173;102;77;83;112;136;276;323
&nbspMarg. Ebitda;37%;28%;17%;18%;9%;7%;7%;9%;9%;15%;16%
&nbspPSR;0.57;1.05;0.63;0.68;0.81;0.33;0.54;0.70;3.88;1.20;1.02
&nbspROE;24%;13%;9%;8%;1%;3%;3%;2%;5%;10%;10%
&nbspROA;14%;8%;5%;5%;1%;2%;2%;1%;3%;5%;6%
&nbspROIC;17%;11%;10%;10%;6%;4%;4%;5%;6%;8%;9%
&nbspEV/EBIT;4.56;6.33;7.19;6.45;11.83;16.12;15.09;12.27;10.05;6.88;5.71
&nbspEV/EBITDA;4.27;4.90;7.23;6.44;11.92;16.20;15.10;11.89;9.85;4.87;4.21
&nbspDiv. Yield;0,00%;2,78%;3,95%;2,81%;0,40%;0,25%;0,72%;0,63%;0,06%;0,00%;0,93%
&nbspDiv. Payout;0%;0%;0%;2%;0%;0%;5%;0%;0%;1%;1%
&nbspBeta;2.76;5.03;0.00;42.37;33.53;0.00;0.88;-2.20;6.47;0.48;0.24
&nbspValorização;121%;55%;0%;2%;0%;0%;75%;-5%;572%;-63%;-6%
&nbspNegócios/dia;1;1;2;2;2;1;1;2;64;52;32
&nbspVolume diário;0;0;0;0;0;0;0;0;1;0;0
