Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;2.15;1.33;0.98;0.97;0.98;0.31;0.12;0.38;0.45;0.31;0.72;1.55;1.75
&nbspP/L;2.34;5.42;6.71;8.13;6.92;10.38;23.15;7.44;8.71;13.77;11.47;4.58;5.69
&nbspVPA;9.09;10.11;10.76;11.53;12.30;12.55;12.66;12.97;13.36;13.63;14.32;15.99;16.69
&nbspP/VP;0.55;0.71;0.61;0.69;0.55;0.26;0.22;0.22;0.30;0.32;0.58;0.45;0.60
&nbspP/EBIT;2.04;3.92;3.86;4.23;4.31;2.89;2.47;3.38;4.41;3.66;5.78;3.38;3.88
&nbspP/EBITDA;1.91;3.04;3.88;4.23;4.32;2.90;2.49;3.40;4.41;3.55;5.67;2.39;2.86
&nbspP/Ativos;0.34;0.41;0.36;0.41;0.33;0.16;0.13;0.13;0.18;0.18;0.33;0.24;0.33
&nbspEbitda;243;219;157;173;146;104;102;77;83;112;136;276;323
&nbspMarg. Ebitda;37%;28%;17%;18%;13%;9%;9%;7%;7%;9%;9%;15%;16%
&nbspPSR;0.70;0.84;0.68;0.76;0.56;0.27;0.22;0.23;0.30;0.32;0.50;0.37;0.47
&nbspROE;24%;13%;9%;8%;8%;2%;1%;3%;3%;2%;5%;10%;10%
&nbspROA;14%;8%;5%;5%;5%;1%;1%;2%;2%;1%;3%;5%;6%
&nbspROIC;17%;11%;10%;10%;8%;6%;6%;4%;4%;5%;6%;8%;9%
&nbspEV/EBIT;4.56;6.33;7.19;6.45;7.74;11.07;11.83;16.12;15.09;12.27;10.05;6.88;5.71
&nbspEV/EBITDA;4.27;4.90;7.23;6.44;7.75;11.09;11.92;16.20;15.10;11.89;9.85;4.87;4.21
&nbspDiv. Yield;0,00%;3,75%;3,95%;2,91%;2,94%;0,00%;1,45%;0,36%;1,27%;1,62%;0,60%;0,00%;2,21%
&nbspDiv. Payout;0%;0%;0%;2%;10%;-10%;0%;0%;5%;0%;0%;1%;1%
&nbspBeta;0.68;0.67;0.84;0.00;0.33;0.31;0.44;-0.01;0.65;0.68;0.41;1.10;0.40
&nbspValorização;74%;49%;-4%;27%;-12%;-52%;-16%;-2%;41%;9%;100%;-15%;32%
&nbspNegócios/dia;174;167;81;65;137;62;28;41;60;77;143;249;496
&nbspVolume diário;1;1;1;0;1;0;0;0;0;0;0;1;2
