Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.26;0.41;0.77;1.11;1.01;1.17;1.41;1.22;0.70;0.18;-1.52;-0.65;0.65;0.26;0.50
&nbspP/L;65.99;7.09;11.06;7.78;6.14;8.06;5.78;4.47;5.90;20.30;-3.77;-9.23;23.78;46.33;20.45
&nbspVPA;4.78;4.50;5.13;6.04;6.83;7.74;9.92;10.74;11.47;10.75;8.91;8.33;8.65;11.70;12.28
&nbspP/VP;3.54;0.64;1.66;1.42;0.90;1.21;0.82;0.51;0.36;0.34;0.64;0.72;1.80;1.03;0.84
&nbspP/EBIT;45.69;4.88;8.08;5.92;5.11;6.71;5.74;5.89;9.32;-32.02;-3.51;-8.04;19.86;9.33;6.57
&nbspP/EBITDA;0.00;4.66;7.98;5.83;5.04;6.51;5.52;5.36;8.40;-21.55;-3.73;-8.79;18.46;9.09;6.41
&nbspP/Ativos;2.15;0.30;0.67;0.62;0.41;0.58;0.40;0.25;0.17;0.17;0.27;0.27;0.68;0.49;0.39
&nbspEbitda;0;111;191;344;286;337;345;228;105;-39;-346;-148;183;280;341
&nbspMarg. Ebitda;0%;13%;16%;18%;15%;16%;14%;10%;5%;-2%;-22%;-10%;10%;17%;18%
&nbspPSR;5.55;0.63;1.31;1.02;0.76;1.01;0.77;0.56;0.40;0.48;0.82;0.88;1.77;1.52;1.12
&nbspROE;5%;9%;15%;18%;15%;15%;14%;11%;6%;2%;-17%;-8%;8%;2%;4%
&nbspROA;3%;4%;6%;8%;7%;7%;7%;6%;3%;1%;-7%;-3%;3%;1%;2%
&nbspROIC;5%;6%;8%;13%;9%;10%;8%;5%;2%;-1%;-9%;-4%;4%;7%;8%
&nbspEV/EBIT;47.92;26.92;16.82;8.71;11.59;9.99;10.29;16.53;38.05;-141.06;-9.04;-18.81;16.26;5.33;3.59
&nbspEV/EBITDA;0.00;25.67;16.62;8.59;11.42;9.70;9.89;15.06;34.28;-94.93;-9.61;-20.57;15.11;5.19;3.50
&nbspDiv. Yield;0,00%;1,72%;0,94%;1,98%;4,21%;2,45%;3,19%;5,33%;6,31%;4,59%;0,00%;0,00%;0,00%;1,16%;7,27%
&nbspDiv. Payout;0%;8%;10%;11%;25%;19%;19%;24%;39%;90%;0%;0%;0%;53%;27%
&nbspBeta;0.79;0.72;0.63;0.89;1.25;1.06;0.91;1.03;0.85;0.70;1.22;1.14;1.01;1.38;1.03
&nbspValorização;52%;-83%;203%;6%;-27%;53%;-11%;-29%;-18%;-4%;54%;3%;155%;-24%;-5%
&nbspNegócios/dia;143;81;182;906;2150;4726;5627;5902;4612;2305;2574;2395;5113;8464;6080
&nbspVolume diário;6;2;2;9;10;15;19;14;9;4;4;4;15;29;16
