Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.31;0.71;1.14;1.72;2.26;2.31;4.01;3.23;2.83;1.41;2.20;0.62;1.28;2.08;2.06
&nbspP/L;28.72;3.32;7.43;8.17;7.00;11.12;7.26;6.81;4.50;11.13;9.84;40.08;40.49;20.62;15.19
&nbspVPA;5.03;5.56;6.45;7.79;9.66;11.42;14.38;16.47;17.22;17.24;15.54;15.98;16.78;20.68;21.06
&nbspP/VP;1.76;0.42;1.32;1.80;1.63;2.25;2.03;1.34;0.74;0.91;1.39;1.57;3.09;2.07;1.49
&nbspP/EBIT;45.56;4.39;7.61;8.82;8.02;12.12;7.51;7.39;5.11;15.37;11.23;1376.11;53.55;32.13;24.50
&nbspP/EBITDA;42.17;4.43;7.58;8.81;7.96;12.08;7.38;7.24;5.02;15.09;11.21;1150.91;52.69;31.78;24.42
&nbspP/Ativos;1.44;0.37;1.07;1.46;1.31;1.76;1.50;0.95;0.61;0.73;1.15;1.39;2.76;1.82;1.31
&nbspEbitda;31;76;161;228;291;312;580;446;399;171;319;4;224;270;257
&nbspMarg. Ebitda;17%;23%;32%;36%;39%;39%;51%;47%;49%;30%;33%;1%;28%;29%;29%
&nbspPSR;7.10;1.01;2.41;3.16;3.11;4.72;3.76;3.39;2.46;4.51;3.65;10.59;14.65;9.17;7.11
&nbspROE;6%;13%;18%;22%;23%;20%;28%;20%;16%;8%;14%;4%;8%;10%;10%
&nbspROA;5%;11%;14%;18%;19%;16%;21%;14%;14%;7%;12%;3%;7%;9%;9%
&nbspROIC;3%;8%;14%;19%;20%;16%;22%;14%;14%;6%;13%;0%;7%;7%;7%
&nbspEV/EBIT;247.12;93.25;45.20;30.84;23.96;22.94;12.76;17.02;17.86;41.41;21.51;2254.46;26.82;22.83;23.57
&nbspEV/EBITDA;228.76;94.05;45.03;30.81;23.79;22.85;12.53;16.67;17.53;40.66;21.47;1885.53;26.39;22.57;23.49
&nbspDiv. Yield;0,00%;2,98%;1,53%;1,92%;2,47%;2,06%;1,85%;4,32%;8,70%;6,33%;17,37%;2,08%;0,27%;0,68%;1,34%
&nbspDiv. Payout;2%;10%;11%;15%;17%;23%;13%;29%;36%;67%;171%;83%;8%;16%;16%
&nbspBeta;0.75;0.49;0.54;0.81;1.07;0.58;0.64;0.85;0.82;0.86;1.07;1.04;0.87;1.32;1.20
&nbspValorização;-16%;-73%;268%;68%;16%;64%;12%;-19%;-33%;45%;62%;16%;102%;-18%;-24%
&nbspNegócios/dia;150;96;208;272;755;1546;1812;2011;2647;2577;2779;2740;4354;12292;10735
&nbspVolume diário;6;1;2;2;5;9;11;11;8;9;12;11;31;106;90
