Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.59;-5.20;1.24;1.30;1.34;-0.04;-0.68;0.21;-6.22;0.82;-2.32;-14.43;12.12;-3.68;0.00
&nbspP/L;12.39;-0.68;8.64;7.13;8.28;-252.53;-10.28;25.54;-0.22;2.51;-1.10;-0.31;0.30;-0.81;0.00
&nbspVPA;10.13;4.89;6.11;8.44;9.76;9.72;9.02;9.18;4.57;5.37;3.03;-11.53;0.58;-2.75;-2.88
&nbspP/VP;1.94;0.73;1.75;1.10;1.14;1.07;0.78;0.57;0.30;0.38;0.84;-0.39;6.27;-1.08;-5.83
&nbspP/EBIT;13.07;2.36;-15.25;2.64;1.75;2.50;1.54;0.90;0.49;0.56;3.52;-1.24;-1.27;1.03;3.53
&nbspP/EBITDA;11.60;1.93;103.69;2.12;1.52;2.05;1.27;0.77;0.37;0.44;1.49;-1.61;-1.59;0.87;3.11
&nbspP/Ativos;0.74;0.09;0.30;0.22;0.21;0.17;0.11;0.08;0.02;0.04;0.05;0.13;0.12;0.09;0.53
&nbspEbitda;82;89;5;212;353;247;268;332;198;249;92;-150;-123;183;290
&nbspMarg. Ebitda;4%;3%;0%;6%;8%;5%;5%;6%;3%;5%;2%;-4%;-10%;8%;11%
&nbspPSR;0.42;0.05;0.16;0.13;0.11;0.10;0.06;0.04;0.01;0.02;0.03;0.07;0.16;0.07;0.35
&nbspROE;16%;-106%;20%;15%;14%;0%;-8%;2%;-136%;15%;-77%;125%;2.106%;134%;0%
&nbspROA;6%;-13%;4%;3%;3%;0%;-1%;0%;-10%;2%;-4%;-43%;41%;-11%;0%
&nbspROIC;8%;7%;-3%;13%;22%;12%;16%;17%;6%;11%;2%;-26%;-12%;11%;20%
&nbspEV/EBIT;17.22;22.19;-45.27;9.25;5.14;8.56;6.95;6.96;17.27;9.87;54.62;-10.00;-7.24;7.96;3.66
&nbspEV/EBITDA;15.28;18.16;307.72;7.41;4.47;7.00;5.73;5.98;12.90;7.84;23.18;-12.96;-9.05;6.76;3.23
&nbspDiv. Yield;1,58%;1,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;22%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.76;0.75;0.55;1.05;0.47;0.46;0.27;0.26;0.78;0.39;1.10;0.36;0.04;0.00;0.68
&nbspValorização;18%;-80%;182%;-14%;20%;-7%;-33%;-22%;-74%;47%;25%;71%;-22%;-20%;410%
&nbspNegócios/dia;175;234;332;208;84;157;98;116;92;96;152;454;658;410;5467
&nbspVolume diário;6;5;2;1;1;1;1;1;0;0;0;2;2;1;39
