Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.68;0.99;0.65;0.69;0.40;0.56;0.68;1.47;1.02;1.05;0.99;0.82;1.01
&nbspP/L;26.98;26.92;32.77;33.36;46.38;28.91;23.37;24.25;28.94;18.78;30.70;33.10;26.16
&nbspVPA;6.71;7.70;10.44;10.91;10.81;10.06;10.59;9.77;5.42;5.53;5.55;5.52;5.33
&nbspP/VP;2.74;3.46;2.05;2.11;1.70;1.62;1.51;3.65;5.46;3.58;5.50;4.90;4.93
&nbspP/EBIT;15.47;20.70;23.71;16.76;16.92;13.05;10.64;16.43;19.49;12.41;17.24;17.90;14.66
&nbspP/EBITDA;14.89;17.36;16.75;11.45;10.33;8.25;6.98;11.61;15.04;9.03;10.98;10.24;9.01
&nbspP/Ativos;1.84;2.63;1.18;1.32;0.90;0.79;0.78;1.87;2.64;1.60;1.90;1.55;1.52
&nbspEbitda;156;202;200;315;278;308;358;482;620;693;881;837;926
&nbspMarg. Ebitda;20%;23%;18%;21%;17%;18%;19%;23%;26%;26%;30%;28%;29%
&nbspPSR;3.01;4.02;2.97;2.40;1.74;1.52;1.32;2.69;3.91;2.35;3.33;2.89;2.65
&nbspROE;10%;13%;6%;6%;4%;6%;6%;15%;19%;19%;18%;15%;19%
&nbspROA;7%;10%;4%;4%;2%;3%;3%;8%;9%;9%;6%;5%;6%
&nbspROIC;12%;23%;6%;9%;7%;8%;9%;14%;18%;17%;14%;11%;13%
&nbspEV/EBIT;56.02;46.26;59.39;40.24;51.27;45.15;36.75;25.51;18.10;17.30;16.08;19.07;17.68
&nbspEV/EBITDA;53.94;38.78;41.96;27.48;31.32;28.55;24.12;18.03;13.97;12.59;10.25;10.91;10.86
&nbspDiv. Yield;0,00%;1,13%;0,93%;1,00%;2,88%;7,86%;0,62%;6,87%;2,60%;4,20%;3,34%;2,70%;2,74%
&nbspDiv. Payout;41%;28%;25%;31%;135%;227%;15%;166%;40%;91%;97%;88%;85%
&nbspBeta;0.60;0.33;0.60;0.03;0.16;0.31;0.30;0.31;0.49;0.83;0.84;0.72;0.57
&nbspValorização;1%;49%;-20%;9%;-16%;-4%;1%;150%;74%;-31%;59%;-11%;0%
&nbspNegócios/dia;1244;155;351;591;1109;699;666;2424;4955;8514;8576;12931;9782
&nbspVolume diário;30;3;5;5;8;6;3;15;41;46;44;63;48
