Unnamed: 0;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.48;0.44;0.25;0.42;0.37;0.44;0.30;0.30;0.42;0.16;0.84;1.13
&nbspP/L;10.86;7.05;23.90;19.14;11.14;8.63;14.46;17.94;11.00;35.43;12.03;11.19
&nbspVPA;3.17;3.42;3.59;3.95;3.26;3.46;3.55;3.60;3.80;3.58;4.38;4.76
&nbspP/VP;1.64;0.91;1.69;2.04;1.26;1.10;1.22;1.49;1.21;1.59;2.31;2.65
&nbspP/EBIT;9.68;7.56;12.19;11.82;7.76;5.79;11.19;17.67;7.10;11.48;9.14;8.59
&nbspP/EBITDA;7.05;4.95;7.24;7.69;4.90;3.88;7.60;10.96;5.45;7.54;6.98;6.48
&nbspP/Ativos;0.76;0.41;0.69;0.86;0.54;0.49;0.78;0.86;0.66;0.77;0.76;0.93
&nbspEbitda;75;64;86;105;105;122;124;106;184;164;315;423
&nbspMarg. Ebitda;15%;12%;13%;15%;14%;14%;15%;13%;16%;12%;19%;21%
&nbspPSR;1.05;0.58;0.94;1.12;0.67;0.54;1.16;1.40;0.88;0.91;1.32;1.39
&nbspROE;15%;13%;7%;11%;11%;13%;8%;8%;11%;4%;19%;24%
&nbspROA;7%;6%;3%;4%;5%;6%;5%;5%;6%;2%;6%;8%
&nbspROIC;12%;8%;8%;10%;10%;12%;14%;8%;12%;8%;11%;14%
&nbspEV/EBIT;50.85;67.47;57.74;43.13;44.07;35.69;29.61;37.91;20.58;27.22;13.37;10.09
&nbspEV/EBITDA;37.06;44.18;34.30;28.06;27.80;23.90;20.11;23.51;15.79;17.88;10.22;7.60
&nbspDiv. Yield;3,85%;6,13%;1,81%;1,87%;2,68%;3,42%;2,31%;5,41%;5,00%;1,93%;0,00%;0,00%
&nbspDiv. Payout;37%;36%;38%;29%;28%;24%;26%;62%;49%;200%;8%;13%
&nbspBeta;0.00;0.00;-5.72;-4.41;0.12;0.00;0.42;0.31;0.31;0.51;0.68;0.39
&nbspValorização;0%;0%;-33%;27%;-10%;3%;25%;33%;-14%;21%;63%;20%
&nbspNegócios/dia;1;1;5;1;11;7;85;120;165;217;476;891
&nbspVolume diário;0;0;0;0;0;0;0;0;0;1;1;3
