Unnamed: 0;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.45;0.97;1.28;1.72;1.02;-2.09;-0.17;2.08;-0.11;0.20;-3.07;-30.31;-9.65;-0.11;-0.25;-0.13
&nbspP/L;70.25;34.10;8.16;16.41;11.76;-1.97;-27.17;1.69;-19.35;12.40;-0.61;-0.67;-1.75;-80.03;-17.67;-35.53
&nbspVPA;7.87;11.95;16.03;14.29;8.78;6.36;6.22;7.72;8.09;8.43;5.10;27.07;11.27;7.46;5.18;5.22
&nbspP/VP;4.06;2.78;0.65;1.98;1.37;0.65;0.76;0.46;0.27;0.29;0.36;0.76;1.50;1.16;0.84;0.86
&nbspP/EBIT;51.59;30.26;6.65;10.19;9.25;-2.95;11.85;3.27;-41.60;7.63;-1.48;-0.66;-2.04;94.58;261.59;61.37
&nbspP/EBITDA;51.09;29.73;5.32;9.54;8.72;-3.43;7.86;2.87;19.76;5.45;-1.59;-0.69;-2.17;42.59;110.09;43.20
&nbspP/Ativos;2.21;1.46;0.25;0.61;0.54;0.19;0.22;0.18;0.12;0.13;0.13;0.20;0.29;0.41;0.35;0.31
&nbspEbitda;65;145;257;494;595;-520;259;512;42;164;-442;-832;-341;24;12;31
&nbspMarg. Ebitda;10%;12%;15%;16%;16%;-18%;7%;19%;2%;7%;-48%;-137%;-36%;6%;1%;3%
&nbspPSR;4.98;3.67;0.79;1.56;1.39;0.61;0.52;0.56;0.39;0.39;0.77;0.94;0.77;2.60;1.48;1.37
&nbspROE;6%;8%;8%;12%;12%;-33%;-3%;27%;-1%;2%;-60%;-112%;-86%;-1%;-5%;-2%
&nbspROA;3%;4%;3%;4%;5%;-10%;-1%;11%;-1%;1%;-22%;-30%;-17%;-1%;-2%;-1%
&nbspROIC;4%;5%;4%;6%;7%;-7%;2%;7%;0%;2%;-10%;-33%;-16%;1%;0%;1%
&nbspEV/EBIT;26.46;14.70;14.39;9.78;6.22;-6.92;21.12;5.42;-141.36;24.24;-5.84;-2.73;-5.92;155.83;343.23;90.18
&nbspEV/EBITDA;26.20;14.44;11.50;9.15;5.86;-8.03;14.01;4.76;67.13;17.32;-6.29;-2.83;-6.30;70.17;144.44;63.49
&nbspDiv. Yield;0,00%;0,30%;2,00%;0,71%;1,00%;5,58%;0,00%;8,78%;3,64%;0,00%;2,69%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;16%;21%;16%;-11%;0%;0%;-349%;0%;-1%;0%;0%;0%;0%;0%
&nbspBeta;0.83;0.88;1.51;1.38;1.30;1.43;1.81;1.69;1.27;1.04;0.94;0.86;0.43;0.63;1.13;1.24
&nbspValorização;33%;5%;-67%;144%;-12%;-65%;5%;-20%;-31%;17%;-20%;-16%;-16%;-49%;-55%;5%
&nbspNegócios/dia;341;902;1947;3523;5549;8720;9219;9769;6790;4484;4867;1857;2113;3465;6330;5569
&nbspVolume diário;11;26;29;41;54;59;57;39;19;9;13;11;17;18;36;39
