Unnamed: 0;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;7.31;8.65;11.10;7.41;5.30;6.50;3.48;0.71;1.63;1.23;0.88;0.99;0.87;-2.72;-1.68;-0.20;1.35;0.71;1.39;2.70
&nbspP/L;4.72;7.05;4.28;5.30;6.59;7.99;4.32;41.15;13.87;11.78;20.37;18.44;10.97;-1.71;-6.44;-63.17;10.96;28.21;17.60;11.22
&nbspVPA;38.73;32.80;25.79;22.94;19.22;25.12;17.63;15.49;13.39;15.55;16.93;18.79;19.51;18.95;14.12;13.89;15.08;15.80;18.08;20.17
&nbspP/VP;0.89;1.86;1.84;1.71;1.82;2.07;0.85;1.88;1.69;0.93;1.06;0.98;0.49;0.25;0.77;0.89;0.98;1.27;1.35;1.50
&nbspP/EBIT;1.97;5.06;3.04;3.98;5.77;6.98;2.63;48.82;9.36;8.59;12.99;11.34;5.63;-2.44;-11.35;19.34;6.30;10.80;8.10;6.29
&nbspP/EBITDA;0.00;0.00;0.00;3.34;4.61;5.51;2.13;15.97;6.16;5.32;7.30;6.53;3.19;-12.91;20.65;6.67;4.29;6.54;5.52;4.82
&nbspP/Ativos;0.27;0.63;0.75;0.79;0.86;0.83;0.36;0.93;0.80;0.49;0.57;0.54;0.26;0.11;0.34;0.42;0.50;0.64;0.67;0.77
&nbspEbitda;0;0;0;5203;5017;6249;10024;2592;5538;4651;4176;4784;5126;-608;900;3193;5939;5258;7616;10792
&nbspMarg. Ebitda;0%;0%;0%;24%;21%;20%;24%;10%;18%;13%;11%;12%;12%;-1%;2%;9%;13%;13%;17%;21%
&nbspPSR;0.43;0.68;0.72;0.82;0.98;1.12;0.51;1.56;1.09;0.70;0.80;0.78;0.38;0.18;0.49;0.58;0.55;0.87;0.96;1.02
&nbspROE;19%;26%;43%;32%;28%;26%;20%;5%;12%;8%;5%;5%;4%;-14%;-12%;-1%;9%;4%;8%;13%
&nbspROA;6%;9%;18%;15%;13%;10%;8%;2%;6%;4%;3%;3%;2%;-7%;-5%;-1%;5%;2%;4%;7%
&nbspROIC;15%;14%;28%;22%;16%;13%;14%;2%;9%;7%;5%;5%;5%;-5%;-4%;3%;9%;7%;10%;15%
&nbspEV/EBIT;30.10;33.13;12.87;13.88;15.47;13.95;9.37;79.52;17.94;21.54;27.72;23.74;22.97;-22.54;-41.20;59.99;15.93;19.68;12.09;7.65
&nbspEV/EBITDA;0.00;0.00;0.00;11.64;12.35;11.01;7.60;26.01;11.81;13.33;15.59;13.67;12.99;-119.25;74.93;20.69;10.86;11.92;8.24;5.87
&nbspDiv. Yield;6,75%;4,13%;4,80%;5,93%;4,07%;2,54%;8,23%;1,03%;1,68%;2,28%;1,67%;1,25%;2,61%;4,73%;0,46%;0,40%;1,69%;1,40%;1,31%;2,71%
&nbspDiv. Payout;0%;0%;0%;33%;30%;15%;33%;33%;41%;26%;35%;25%;31%;-8%;-3%;-26%;26%;40%;11%;14%
&nbspBeta;0.64;0.64;1.09;1.20;1.18;1.08;1.21;1.33;1.26;1.27;1.20;0.86;0.64;1.10;1.66;1.33;1.17;0.99;1.20;0.91
&nbspValorização;61%;149%;65%;37%;40%;47%;-38%;83%;-22%;-36%;25%;-1%;-46%;-47%;139%;15%;16%;34%;19%;18%
&nbspNegócios/dia;187;348;767;1087;1238;2099;5156;8260;7836;11505;13105;15069;14532;15695;20623;16752;19955;19424;29796;33996
&nbspVolume diário;6;10;26;32;39;71;116;132;134;126;122;115;81;64;112;111;193;182;274;466
