Unnamed: 0;2018;2019;2020;2021
&nbspLPA;0.64;0.70;1.21;0.90
&nbspP/L;45.63;96.90;64.79;95.14
&nbspVPA;4.43;10.56;11.65;11.62
&nbspP/VP;6.57;6.46;6.73;7.37
&nbspP/EBIT;24.84;45.40;34.55;46.80
&nbspP/EBITDA;20.65;35.73;27.68;35.32
&nbspP/Ativos;2.67;3.13;2.92;3.15
&nbspEbitda;745;1152;1725;1479
&nbspMarg. Ebitda;12%;14%;16%;13%
&nbspPSR;2.51;4.90;4.47;4.74
&nbspROE;14%;7%;10%;8%
&nbspROA;6%;3%;5%;3%
&nbspROIC;14%;11%;11%;8%
&nbspEV/EBIT;85.34;55.83;38.48;47.23
&nbspEV/EBITDA;70.92;43.94;30.83;35.64
&nbspDiv. Yield;0,00%;0,22%;0,22%;0,00%
&nbspDiv. Payout;0%;19%;14%;18%
&nbspBeta;0.27;0.56;1.03;0.77
&nbspValorização;44%;132%;10%;11%
&nbspNegócios/dia;2821;10655;19223;19140
&nbspVolume diário;37;148;267;370
