Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.94;5.55;4.80;3.23;3.69;2.68;-5.51;-3.28;-0.41;2.27;1.10;2.19;4.26
&nbspP/L;18.04;4.83;3.73;7.09;6.35;4.22;-0.30;-1.46;-14.15;3.05;8.42;5.14;3.30
&nbspVPA;51.69;44.32;59.49;64.98;73.10;75.70;33.39;24.23;23.77;25.74;25.04;30.01;33.37
&nbspP/VP;0.68;0.60;0.30;0.35;0.32;0.15;0.05;0.20;0.24;0.27;0.37;0.38;0.42
&nbspP/EBIT;17.90;3.07;2.58;4.07;3.55;1.62;-0.45;-2.81;5.20;1.70;3.18;2.36;1.85
&nbspP/EBITDA;5.65;2.01;1.59;2.28;2.03;0.91;-2.08;5.19;1.79;1.16;1.92;1.61;1.42
&nbspP/Ativos;0.32;0.26;0.15;0.18;0.17;0.07;0.02;0.08;0.11;0.13;0.19;0.19;0.22
&nbspEbitda;2549;5498;4640;4148;4747;5097;-728;891;3184;5915;5249;7608;10778
&nbspMarg. Ebitda;10%;18%;13%;11%;12%;12%;-2%;2%;9%;13%;13%;17%;21%
&nbspPSR;0.54;0.35;0.21;0.25;0.24;0.11;0.03;0.12;0.15;0.15;0.25;0.28;0.30
&nbspROE;4%;13%;8%;5%;5%;4%;-17%;-14%;-2%;9%;4%;7%;13%
&nbspROA;2%;5%;4%;2%;3%;2%;-7%;-6%;-1%;4%;2%;4%;7%
&nbspROIC;2%;9%;7%;5%;5%;5%;-6%;-4%;2%;9%;7%;10%;15%
&nbspEV/EBIT;32.76;8.12;9.04;12.49;10.78;10.83;-10.92;-18.70;26.86;6.89;7.96;4.61;2.97
&nbspEV/EBITDA;10.35;5.33;5.59;6.99;6.17;6.10;-50.01;34.50;9.22;4.69;4.81;3.14;2.28
&nbspDiv. Yield;1,52%;2,09%;2,96%;1,79%;1,32%;2,65%;6,63%;0,00%;0,35%;1,59%;1,62%;1,60%;3,20%
&nbspDiv. Payout;43%;39%;27%;37%;25%;37%;-5%;-2%;-23%;25%;38%;12%;14%
&nbspBeta;1.31;1.25;1.21;1.28;0.84;0.68;1.34;1.88;1.70;1.23;1.12;1.24;0.90
&nbspValorização;67%;-24%;-33%;32%;0%;-50%;-84%;200%;23%;16%;33%;18%;22%
&nbspNegócios/dia;2410;2535;4266;4396;4628;4974;9013;12789;12729;14679;12053;17969;19282
&nbspVolume diário;29;28;29;24;23;19;22;73;82;102;73;118;163
