Unnamed: 0;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.51;2.17;3.49;1.32;-6.16;3.24;0.80;-2.82;-5.48;-2.61;-8.01;-21.09;5.42;1.43;-2.91;0.66;-21.51;-22.40
&nbspP/L;28.00;30.63;18.17;33.03;-1.61;8.05;31.36;-4.42;-2.36;-4.01;-1.89;-0.12;0.85;10.22;-8.62;55.64;-1.16;-1.04
&nbspVPA;5.35;8.02;10.53;11.91;6.65;10.72;10.85;8.27;2.65;4.40;-2.38;-21.25;-16.50;-11.54;-16.84;-25.96;-50.24;-59.87
&nbspP/VP;7.90;8.28;6.02;3.67;1.49;2.43;2.31;1.50;4.87;2.38;-6.37;-0.12;-0.28;-1.27;-1.49;-1.42;-0.50;-0.39
&nbspP/EBIT;19.56;25.47;17.58;-94.18;-23.40;18.13;9.69;-13.60;-3.94;10.86;4.19;-2.80;1.35;3.92;4.80;4.72;-7.18;-2.55
&nbspP/EBITDA;0.00;23.81;16.27;1235.89;104.22;13.19;6.91;21.92;-9.23;3.51;2.18;2.17;0.82;2.60;3.25;2.61;7.44;-17.35
&nbspP/Ativos;5.13;5.77;3.29;1.54;0.29;0.82;0.75;0.31;0.39;0.27;0.21;0.05;0.11;0.39;0.65;0.66;0.53;0.54
&nbspEbitda;0;547;765;7;19;523;980;151;-386;827;968;236;1144;1495;2068;3861;919;-367
&nbspMarg. Ebitda;0%;20%;20%;0%;0%;9%;14%;2%;-5%;9%;10%;2%;12%;14%;18%;28%;14%;-8%
&nbspPSR;4.79;4.88;3.27;1.78;0.31;1.15;0.97;0.44;0.44;0.32;0.21;0.05;0.10;0.37;0.59;0.73;1.07;1.33
&nbspROE;28%;27%;33%;11%;-93%;30%;7%;-34%;-207%;-59%;336%;99%;-33%;-12%;17%;-3%;43%;37%
&nbspROA;18%;19%;18%;5%;-18%;10%;2%;-7%;-17%;-7%;-11%;-41%;13%;4%;-8%;1%;-46%;-52%
&nbspROIC;27%;23%;19%;-2%;-1%;5%;10%;-3%;-13%;4%;7%;-2%;11%;15%;18%;19%;-10%;-27%
&nbspEV/EBIT;16.53;12.98;10.51;-90.07;-98.92;21.40;11.93;-38.23;-11.50;34.78;20.91;-77.91;17.16;11.81;8.83;5.81;-16.03;-6.38
&nbspEV/EBITDA;0.00;12.13;9.73;1181.99;440.54;15.57;8.51;61.65;-26.96;11.23;10.90;60.44;10.45;7.82;5.97;3.21;16.61;-43.41
&nbspDiv. Yield;0,00%;0,48%;2,27%;3,61%;1,82%;0,00%;2,79%;1,53%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;14%;26%;93%;-3%;0%;86%;-7%;-22%;-3%;-6%;-3%;15%;67%;0%;116%;-1%;-1%
&nbspBeta;0.12;0.38;0.72;0.67;0.83;0.75;1.04;1.41;1.34;1.34;1.22;1.02;2.18;1.65;1.86;1.31;1.87;1.43
&nbspValorização;51%;58%;-1%;-30%;-76%;153%;-1%;-52%;2%;-18%;50%;-83%;92%;224%;65%;45%;-33%;-3%
&nbspNegócios/dia;189;138;513;1328;1645;2583;2597;3919;4648;5424;4112;3794;3717;4613;8634;11940;26255;18191
&nbspVolume diário;4;4;15;39;20;27;31;29;23;24;16;10;16;28;68;135;217;184
