Unnamed: 0;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.68;0.87;1.36;1.28;2.43;0.91;1.04;1.02;1.43;1.45;1.62;1.80;2.11;2.19;0.65;0.55;0.45;0.56
&nbspP/L;46.32;25.82;16.88;16.81;5.23;10.93;8.95;7.53;11.53;12.48;9.45;9.38;8.33;12.96;12.65;22.29;18.67;17.95
&nbspVPA;7.37;8.51;9.79;11.18;12.59;4.88;5.57;5.99;6.49;6.89;7.76;8.70;9.72;10.70;3.84;4.08;4.69;4.39
&nbspP/VP;4.27;2.64;2.34;1.92;1.01;2.04;1.67;1.28;2.54;2.63;1.97;1.94;1.81;2.66;2.13;3.01;1.79;2.29
&nbspP/EBIT;18.42;17.15;12.47;11.09;4.90;19.51;13.41;12.30;13.66;13.58;11.77;12.63;13.18;18.40;16.19;31.21;25.12;24.84
&nbspP/EBITDA;0.00;14.27;10.91;10.10;4.56;16.72;11.85;10.70;12.57;12.46;10.51;11.14;15.47;16.26;14.15;25.72;19.42;19.90
&nbspP/Ativos;3.00;1.94;1.62;1.47;0.78;1.69;1.40;1.13;2.16;2.29;1.71;1.66;1.63;2.39;1.92;2.73;1.62;1.89
&nbspEbitda;0;157;210;213;279;178;237;216;395;436;437;454;342;526;523;431;389;456
&nbspMarg. Ebitda;0%;15%;19%;18%;21%;12%;15%;15%;21%;20%;20%;21%;17%;23%;22%;21%;21%;22%
&nbspPSR;2.60;2.10;2.08;1.79;0.95;2.05;1.75;1.56;2.63;2.48;2.06;2.30;2.59;3.80;3.17;5.35;3.99;4.43
&nbspROE;9%;10%;14%;11%;19%;19%;19%;17%;22%;21%;21%;21%;22%;21%;17%;13%;10%;13%
&nbspROA;6%;8%;10%;9%;15%;15%;16%;15%;19%;18%;18%;18%;20%;18%;15%;12%;9%;11%
&nbspROIC;17%;11%;13%;14%;16%;9%;22%;17%;21%;21%;20%;17%;21%;24%;20%;13%;10%;12%
&nbspEV/EBIT;53.25;69.74;50.20;47.12;35.45;59.40;38.79;43.37;23.74;21.61;21.72;21.33;19.39;16.16;16.51;21.98;25.10;20.90
&nbspEV/EBITDA;0.00;58.03;43.91;42.90;32.96;50.92;34.26;37.71;21.84;19.83;19.39;18.82;22.75;14.28;14.43;18.11;19.41;16.75
&nbspDiv. Yield;0,00%;4,54%;5,36%;5,58%;8,90%;10,65%;3,76%;7,93%;5,58%;5,42%;5,16%;5,17%;5,92%;4,36%;16,95%;2,52%;3,58%;6,17%
&nbspDiv. Payout;0%;117%;90%;94%;46%;44%;33%;60%;64%;68%;49%;48%;47%;57%;55%;58%;27%;22%
&nbspBeta;0.39;0.27;0.50;0.50;0.36;0.15;0.35;0.46;0.34;0.32;0.57;0.53;0.32;0.55;0.44;0.65;0.70;0.69
&nbspValorização;-9%;-27%;11%;-1%;-33%;149%;0%;-12%;134%;15%;-9%;19%;13%;70%;-10%;54%;-29%;30%
&nbspNegócios/dia;244;101;77;50;36;78;98;243;549;1596;1423;1347;1351;1550;2165;3746;5654;5174
&nbspVolume diário;12;3;3;3;1;2;1;1;3;9;6;5;5;9;7;10;15;15
