Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.36;-0.12;0.52;-0.22;-0.73;-1.78;-2.30;-4.85;-8.48;2.42;3.63;-5.13;-0.49;-244.29;-165.46
&nbspP/L;-48.49;-19.10;16.60;-60.07;-15.49;-5.98;-4.10;-1.50;-0.33;1.65;1.57;-1.28;-5.72;-0.23;-0.24
&nbspVPA;7.53;7.39;7.86;7.35;6.60;4.79;2.48;25.28;12.00;12.80;17.63;0.55;0.06;-242.74;-325.21
&nbspP/VP;2.30;0.31;1.09;1.78;1.72;2.23;3.81;0.29;0.23;0.31;0.32;12.02;48.60;-0.23;-0.12
&nbspP/EBIT;872.80;2.34;6.85;9.18;6.66;4.99;2.94;3.95;4.14;1.53;0.92;8.46;1.66;6.46;4.70
&nbspP/EBITDA;0.00;1.88;5.96;8.09;5.85;4.33;2.58;3.71;3.61;1.58;0.92;8.02;1.62;5.90;4.23
&nbspP/Ativos;1.36;0.11;0.52;0.56;0.45;0.29;0.21;0.10;0.06;0.09;0.11;0.15;0.11;0.06;0.04
&nbspEbitda;0;61;72;82;98;124;185;99;50;192;433;57;120;19;18
&nbspMarg. Ebitda;0%;71%;72%;70%;71%;68%;84%;39%;19%;74%;172%;26%;86%;20%;20%
&nbspPSR;21.82;1.33;4.32;5.70;4.18;2.96;2.17;1.46;0.69;1.17;1.57;2.13;1.40;1.21;0.84
&nbspROE;-5%;-2%;7%;-3%;-11%;-37%;-93%;-19%;-71%;19%;21%;-937%;-850%;101%;51%
&nbspROA;-3%;-1%;3%;-1%;-3%;-5%;-5%;-7%;-17%;6%;7%;-12%;-2%;-28%;-18%
&nbspROIC;0%;5%;8%;9%;8%;7%;9%;3%;1%;6%;12%;2%;8%;1%;1%
&nbspEV/EBIT;200.02;6.37;2.29;1.24;4.97;6.42;5.97;12.46;33.73;6.16;2.97;14.78;9.35;99.47;113.95
&nbspEV/EBITDA;0.00;5.12;1.99;1.09;4.36;5.58;5.23;11.69;29.43;6.37;2.94;14.01;9.14;90.74;102.48
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;109,64%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;-609%;0%;0%
&nbspBeta;0.02;0.11;0.64;0.39;0.41;0.40;0.45;0.54;0.32;0.28;0.56;0.61;9.33;0.53;0.37
&nbspValorização;23%;-87%;277%;49%;-9%;-7%;-13%;-21%;-59%;45%;41%;24%;12%;1.914%;-30%
&nbspNegócios/dia;62;12;60;66;149;160;121;110;60;10;9;22;646;91;7
&nbspVolume diário;1;0;1;1;2;2;1;1;0;0;0;0;1;0;0
