Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.40;0.83;1.01;0.82;1.20;0.75;1.97;1.27;3.14;2.88;2.20;3.45;5.43;5.85;5.88;6.78;7.72;5.62;5.10;9.17;19.81;1.19;-0.05;-0.17
&nbspP/L;5.99;6.84;5.00;5.60;5.66;13.54;9.99;53.59;33.91;21.98;8.20;21.42;14.85;14.19;20.66;15.49;10.75;8.18;11.93;16.37;8.21;20.30;-275.67;-122.01
&nbspVPA;6.44;7.27;8.30;9.11;10.29;11.06;12.92;14.20;16.99;20.05;21.25;24.02;31.23;35.87;40.48;45.34;50.88;54.33;57.95;64.50;78.99;10.46;10.07;9.87
&nbspP/VP;0.37;0.78;0.61;0.50;0.66;0.92;1.53;4.78;6.27;3.16;0.85;3.07;2.58;2.31;3.00;2.32;1.63;0.85;1.05;2.33;2.06;2.31;1.48;2.08
&nbspP/EBIT;14.98;14.83;7.33;19.04;10.10;106.08;20.15;0.00;255.60;-565.17;51.05;19.03;11.07;10.79;15.01;11.43;8.18;6.06;9.39;10.53;7.19;14.93;-240.10;-100.48
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.23;8.93;8.59;11.59;8.78;6.14;3.96;5.50;7.88;5.96;10.84;15.11;21.49
&nbspP/Ativos;0.29;0.58;0.42;0.36;0.46;0.64;1.01;2.85;3.97;2.12;0.57;2.03;1.59;1.40;1.79;1.38;0.87;0.41;0.49;1.17;0.97;0.96;0.54;0.77
&nbspEbitda;0;0;0;0;0;0;0;0;0;0;0;267;564;603;654;747;844;725;690;1189;1701;1114;493;477
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;12%;22%;20%;18%;18%;18%;13%;12%;18%;24%;14%;8%;8%
&nbspPSR;0.73;0.69;0.44;0.36;0.47;0.66;1.07;2.80;4.06;2.24;0.59;2.11;1.93;1.70;2.14;1.61;1.10;0.52;0.64;1.45;1.41;1.55;1.19;1.75
&nbspROE;6%;11%;12%;9%;12%;7%;15%;9%;18%;14%;10%;14%;17%;16%;15%;15%;15%;10%;9%;14%;25%;11%;-1%;-2%
&nbspROA;5%;8%;8%;6%;8%;5%;10%;5%;12%;10%;7%;9%;11%;10%;9%;9%;8%;5%;4%;7%;12%;5%;0%;-1%
&nbspROIC;2%;4%;7%;2%;5%;1%;6%;0%;2%;0%;1%;12%;17%;15%;14%;14%;12%;8%;6%;13%;16%;8%;0%;-1%
&nbspEV/EBIT;1055.01;439.55;245.33;703.21;251.15;1758.52;172.92;0.00;405.70;-1506.87;484.96;44.00;23.33;22.58;21.21;18.70;17.36;23.87;27.69;12.45;8.17;14.59;-363.07;-112.14
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;39.85;18.83;17.97;16.38;14.35;13.02;15.61;16.22;9.31;6.78;10.59;22.84;23.99
&nbspDiv. Yield;0,00%;2,63%;3,96%;5,22%;2,79%;2,75%;0,86%;0,66%;0,28%;1,15%;3,78%;0,60%;0,78%;1,31%;0,95%;2,82%;2,46%;4,50%;2,29%;1,17%;3,48%;2,40%;2,75%;2,14%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;12%;0%;9%;18%;21%;32%;36%;13%;11%;40%;-1.170%;-337%
&nbspBeta;0.00;0.00;0.40;0.63;0.89;0.15;0.03;0.17;0.67;0.46;0.33;0.45;0.46;0.50;0.34;0.23;0.43;0.35;0.62;0.88;0.72;0.67;1.29;1.31
&nbspValorização;-31%;165%;-7%;-2%;56%;51%;96%;245%;53%;-40%;-71%;340%;15%;1%;52%;-10%;-17%;-42%;39%;164%;9%;18%;-38%;45%
&nbspNegócios/dia;3;3;2;2;3;3;4;17;63;94;39;27;40;34;52;51;132;128;86;236;384;2166;5119;4138
&nbspVolume diário;0;0;0;0;0;0;0;1;5;5;2;1;2;1;2;2;3;2;1;5;8;15;23;15
