Unnamed: 0;2018;2019;2020;2021
&nbspLPA;1.17;1.15;0.21;0.21
&nbspP/L;26.61;55.72;72.03;74.78
&nbspVPA;5.36;9.77;2.11;2.15
&nbspP/VP;5.82;6.54;7.24;7.26
&nbspP/EBIT;24.07;45.92;44.71;48.01
&nbspP/EBITDA;22.96;40.34;28.07;28.41
&nbspP/Ativos;4.30;3.81;4.19;4.20
&nbspEbitda;913;1177;2020;2040
&nbspMarg. Ebitda;20%;21%;24%;23%
&nbspPSR;4.58;8.43;6.63;6.59
&nbspROE;22%;12%;10%;10%
&nbspROA;16%;7%;6%;6%
&nbspROIC;22%;9%;12%;11%
&nbspEV/EBIT;66.29;57.38;45.92;47.60
&nbspEV/EBITDA;63.24;50.41;28.83;28.17
&nbspDiv. Yield;0,58%;0,44%;2,16%;1,15%
&nbspDiv. Payout;104%;23%;26%;26%
&nbspBeta;0.51;0.39;0.98;0.75
&nbspValorização;9%;107%;15%;4%
&nbspNegócios/dia;3752;7590;13730;26357
&nbspVolume diário;43;91;141;183
