Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.19;1.06;1.67;2.81;3.29;1.40;1.18;0.81;0.27;-0.31;-0.67;-0.74;-0.15;0.47;0.67
&nbspP/L;60.38;2.60;7.56;7.47;6.30;8.98;6.61;5.83;5.86;-4.92;-2.91;-2.04;-29.85;25.98;12.64
&nbspVPA;6.56;6.92;8.16;11.17;13.95;5.78;6.65;6.90;7.26;5.75;3.92;2.51;2.40;12.51;12.97
&nbspP/VP;1.75;0.40;1.55;1.88;1.48;2.17;1.17;0.69;0.22;0.27;0.50;0.60;1.90;0.98;0.66
&nbspP/EBIT;33.55;2.86;6.59;6.90;5.69;7.71;4.41;3.92;3.64;-7.60;-3.62;-2.24;234.23;30.31;13.71
&nbspP/EBITDA;0.00;2.14;5.82;6.35;5.25;7.39;4.24;3.62;3.49;-7.19;-3.68;-2.26;137.27;24.66;11.05
&nbspP/Ativos;0.85;0.16;0.57;0.65;0.51;0.71;0.41;0.24;0.08;0.09;0.18;0.17;0.66;0.38;0.26
&nbspEbitda;0;68;114;215;256;331;474;338;116;-70;-244;-305;22;66;103
&nbspMarg. Ebitda;0%;20%;17%;22%;22%;23%;24%;18%;9%;-8%;-47%;-48%;2%;7%;11%
&nbspPSR;2.54;0.42;1.02;1.38;1.14;1.71;1.03;0.66;0.31;0.56;1.73;1.09;2.36;1.68;1.19
&nbspROE;3%;15%;21%;25%;24%;24%;18%;12%;4%;-5%;-17%;-30%;-6%;4%;5%
&nbspROA;1%;6%;8%;9%;8%;8%;6%;4%;1%;-2%;-6%;-8%;-2%;1%;2%
&nbspROIC;3%;6%;9%;11%;10%;10%;10%;7%;2%;-1%;-5%;-8%;0%;1%;2%
&nbspEV/EBIT;77.89;27.98;15.40;7.30;7.33;5.79;4.82;7.65;25.50;-46.98;-11.69;-9.08;163.00;40.33;25.32
&nbspEV/EBITDA;0.00;20.92;13.61;6.72;6.78;5.55;4.64;7.05;24.44;-44.42;-11.87;-9.16;95.53;32.81;20.41
&nbspDiv. Yield;0,00%;1,08%;1,74%;1,62%;3,86%;8,69%;6,67%;10,53%;25,48%;3,90%;0,00%;0,00%;0,00%;0,00%;0,59%
&nbspDiv. Payout;0%;0%;0%;12%;24%;26%;34%;62%;145%;-16%;0%;0%;0%;0%;0%
&nbspBeta;0.25;0.33;0.47;0.46;0.65;0.59;0.55;0.80;0.62;0.78;1.64;1.12;1.27;1.60;1.45
&nbspValorização;4%;-76%;370%;71%;4%;89%;-16%;-35%;-62%;8%;23%;-25%;185%;-47%;-28%
&nbspNegócios/dia;47;24;37;74;184;682;1061;1279;1551;674;1473;1225;2517;8183;5030
&nbspVolume diário;2;1;0;1;1;3;4;3;2;1;4;3;8;36;19
