Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-1.04;0.65;0.48;-0.09;0.33;0.41;0.64;0.89;1.86;1.53;1.79;1.84;2.05;2.15
&nbspP/L;-12.78;61.10;46.93;-96.61;50.49;43.21;25.99;24.47;14.05;23.54;16.88;19.40;16.74;16.17
&nbspVPA;9.65;7.14;9.23;10.63;10.97;11.20;11.83;12.70;13.93;12.24;13.08;13.78;14.59;14.76
&nbspP/VP;1.38;5.60;2.44;0.80;1.51;1.58;1.41;1.71;1.88;2.94;2.31;2.59;2.35;2.36
&nbspP/EBIT;-51.87;41.30;20.17;12.62;13.49;12.43;11.55;15.53;15.44;19.60;15.52;20.80;16.45;15.39
&nbspP/EBITDA;66.37;38.26;18.67;9.94;11.98;11.13;10.32;13.85;14.48;18.40;14.48;18.71;15.06;14.19
&nbspP/Ativos;0.74;3.06;1.24;0.40;0.82;0.89;0.76;0.87;1.44;2.25;1.81;1.89;1.26;1.23
&nbspEbitda;40;503;661;534;868;1001;1020;991;1141;1237;1319;1206;1440;1554
&nbspMarg. Ebitda;3%;25%;21%;16%;22%;24%;22%;34%;35%;34%;35%;37%;35%;35%
&nbspPSR;1.99;9.51;3.91;1.60;2.69;2.62;2.25;4.64;5.02;6.26;5.13;6.85;5.31;4.96
&nbspROE;-11%;9%;5%;-1%;3%;4%;5%;7%;13%;12%;14%;13%;14%;15%
&nbspROA;-6%;5%;3%;0%;2%;2%;3%;4%;10%;10%;11%;10%;8%;8%
&nbspROIC;-1%;8%;8%;4%;7%;8%;8%;7%;11%;14%;14%;12%;11%;9%
&nbspEV/EBIT;-447.01;49.68;37.41;57.73;31.88;27.99;27.80;27.74;20.43;18.51;17.29;19.82;17.53;19.07
&nbspEV/EBITDA;572.01;46.03;34.62;45.47;28.31;25.07;24.84;24.75;19.16;17.37;16.13;17.83;16.05;17.57
&nbspDiv. Yield;0,00%;0,00%;0,00%;1,41%;0,00%;0,91%;0,00%;0,00%;1,91%;4,36%;3,21%;3,03%;3,39%;2,56%
&nbspDiv. Payout;0%;0%;0%;-158%;0%;40%;0%;0%;27%;42%;56%;54%;53%;54%
&nbspBeta;0.55;0.40;0.84;1.02;1.04;0.61;0.68;0.79;0.39;0.58;0.53;0.56;0.83;0.87
&nbspValorização;-20%;189%;10%;-61%;85%;7%;-5%;34%;26%;41%;-14%;19%;-1%;6%
&nbspNegócios/dia;150;329;3044;7442;9949;9731;7972;9326;11206;10109;8375;8848;16382;13382
&nbspVolume diário;2;11;51;64;54;54;40;51;74;74;62;63;128;104
