Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.85;1.19;1.10;1.92;1.95;1.70;1.05;1.32;1.11;0.93;1.25;1.48;1.78;1.15;1.31
&nbspP/L;34.00;10.95;30.97;21.62;17.77;16.03;21.19;18.62;17.02;28.55;31.48;28.15;29.75;32.32;30.53
&nbspVPA;13.25;14.57;17.41;18.79;19.98;11.20;13.18;14.13;14.92;15.52;15.89;16.11;16.99;17.83;18.07
&nbspP/VP;2.19;0.89;1.95;2.21;1.73;2.43;1.69;1.74;1.27;1.72;2.48;2.58;3.11;2.08;2.22
&nbspP/EBIT;46.52;9.47;22.46;19.91;13.03;11.82;13.56;11.82;8.30;11.40;15.99;16.36;18.43;18.28;19.73
&nbspP/EBITDA;28.10;6.39;17.66;17.77;11.65;10.63;11.66;9.62;6.62;9.04;12.87;13.15;14.69;12.91;13.01
&nbspP/Ativos;1.32;0.59;1.37;1.43;0.94;1.21;0.85;0.88;0.66;0.90;1.37;1.39;1.66;0.96;1.04
&nbspEbitda;63;132;153;185;235;406;336;451;504;521;541;559;636;508;544
&nbspMarg. Ebitda;46%;70%;70%;70%;71%;99%;80%;78%;79%;78%;78%;77%;84%;75%;79%
&nbspPSR;12.90;4.46;12.42;12.49;8.32;10.52;9.38;7.52;5.25;7.05;10.05;10.19;12.39;9.72;10.31
&nbspROE;6%;8%;6%;10%;10%;15%;8%;9%;7%;6%;8%;9%;10%;6%;7%
&nbspROA;4%;5%;4%;7%;5%;8%;4%;5%;4%;3%;4%;5%;6%;3%;3%
&nbspROIC;3%;6%;6%;10%;10%;14%;8%;9%;9%;9%;9%;10%;11%;7%;7%
&nbspEV/EBIT;202.29;86.30;64.57;44.20;37.07;21.87;28.85;24.14;22.67;22.05;20.83;20.07;17.42;25.92;24.56
&nbspEV/EBITDA;122.17;58.22;50.77;39.44;33.12;19.67;24.81;19.64;18.09;17.47;16.77;16.14;13.89;18.32;16.20
&nbspDiv. Yield;0,86%;3,46%;2,47%;1,61%;1,99%;1,40%;1,79%;1,42%;1,80%;1,27%;1,73%;0,00%;0,40%;0,57%;0,00%
&nbspDiv. Payout;29%;57%;54%;30%;34%;20%;34%;26%;31%;36%;54%;46%;48%;36%;16%
&nbspBeta;0.51;0.40;0.28;0.42;0.53;0.41;0.51;0.79;0.76;0.60;0.91;0.92;0.71;1.12;1.19
&nbspValorização;-13%;-52%;173%;28%;-16%;51%;-19%;13%;-20%;48%;49%;4%;25%;-32%;13%
&nbspNegócios/dia;110;51;138;258;645;966;1329;1695;2643;2860;4976;6292;7021;11234;12194
&nbspVolume diário;5;2;3;5;6;8;10;10;13;15;37;45;61;80;89
