Unnamed: 0;2017;2018;2019;2020;2021
&nbspLPA;2.98;3.93;1.89;-1.20;-1.17
&nbspP/L;11.40;21.25;20.66;-6.82;-4.99
&nbspVPA;11.54;12.89;4.96;3.36;3.47
&nbspP/VP;2.95;6.48;7.86;2.44;1.69
&nbspP/EBIT;18.04;25.28;39.93;-5.71;-3.74
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00
&nbspP/Ativos;0.74;1.63;2.12;0.46;0.32
&nbspEbitda;0;0;0;0;0
&nbspMarg. Ebitda;0%;0%;0%;0%;0%
&nbspPSR;2.23;4.49;5.51;1.22;0.87
&nbspROE;26%;30%;38%;-36%;-34%
&nbspROA;6%;8%;10%;-7%;-6%
&nbspROIC;5%;8%;6%;-10%;-11%
&nbspEV/EBIT;10.21;5.89;6.93;-2.05;-1.21
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00
&nbspDiv. Yield;1,71%;2,62%;5,96%;1,59%;2,22%
&nbspDiv. Payout;75%;56%;52%;0%;18%
&nbspBeta;0.18;0.23;0.58;1.17;1.03
&nbspValorização;18%;160%;41%;-79%;-26%
&nbspNegócios/dia;2357;4268;10245;39833;19466
&nbspVolume diário;33;56;176;429;216
