Unnamed: 0;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.99;1.12;1.38;1.79;2.36;2.75;1.64;3.10;1.15;1.22;1.04;1.10;1.34;1.33;1.11;1.14;1.15;1.26;0.87;1.02
&nbspP/L;1.91;3.04;3.33;4.13;4.63;4.27;4.90;3.82;11.52;9.26;9.32;8.10;7.02;5.17;7.49;9.49;10.46;11.21;13.43;11.03
&nbspVPA;3.76;4.60;5.33;5.91;8.57;9.62;12.44;13.34;6.67;7.33;6.75;6.58;6.92;7.09;6.82;7.52;6.91;6.94;7.21;7.36
&nbspP/VP;0.50;0.74;0.86;1.25;1.27;1.22;0.64;0.89;1.98;1.54;1.44;1.35;1.36;0.97;1.21;1.44;1.75;2.03;1.63;1.54
&nbspP/EBIT;1.16;-1.99;-3.18;-3.76;-3.77;-6.30;-1.17;-1.78;-4.85;-4.08;-3.72;7.39;6.88;5.12;7.48;9.41;10.23;10.78;12.77;10.74
&nbspP/EBITDA;0.00;0.00;0.00;-4.24;-6.49;-7.14;-1.33;-1.94;-5.40;-4.61;-4.21;6.75;6.38;4.79;8.11;8.81;9.45;10.11;11.81;9.99
&nbspP/Ativos;0.05;0.09;0.11;0.15;0.16;0.14;0.05;0.08;0.21;0.16;0.13;1.16;1.18;0.85;1.04;1.23;1.53;1.76;1.36;1.30
&nbspEbitda;0;0;0;-5538;-5344;-5807;-23313;-26555;-10687;-10787;-11145;7217;8974;9699;7584;9182;10752;11720;8351;9516
&nbspMarg. Ebitda;0%;0%;0%;-50%;-43%;-41%;-148%;-137%;-204%;-212%;-197%;136%;179%;199%;162%;185%;200%;234%;142%;147%
&nbspPSR;0.88;1.40;1.58;2.14;2.76;2.95;1.98;2.66;11.02;9.76;8.31;9.21;11.41;9.51;13.13;16.27;18.90;23.66;16.78;14.65
&nbspROE;26%;24%;26%;30%;28%;29%;13%;23%;17%;17%;15%;17%;19%;19%;16%;15%;17%;18%;12%;14%
&nbspROA;3%;3%;3%;4%;3%;3%;1%;2%;2%;2%;1%;14%;17%;16%;14%;13%;15%;16%;10%;12%
&nbspROIC;4%;-5%;-3%;-4%;-4%;-2%;-4%;-5%;-7%;-6%;-5%;16%;18%;17%;15%;14%;16%;17%;12%;13%
&nbspEV/EBIT;20.01;-18.11;-21.33;-15.94;-10.80;-15.19;-3.79;-3.48;0.34;0.60;1.91;15.18;11.98;10.98;12.14;11.76;10.03;9.05;12.98;10.98
&nbspEV/EBITDA;0.00;0.00;0.00;-17.97;-18.63;-17.20;-4.30;-3.79;0.38;0.67;2.17;13.86;11.12;10.26;13.17;11.00;9.26;8.49;12.00;10.21
&nbspDiv. Yield;4,26%;6,74%;4,57%;3,65%;2,29%;2,55%;1,50%;1,10%;1,52%;3,72%;0,72%;3,93%;2,24%;6,69%;3,99%;4,62%;2,15%;8,45%;5,54%;2,30%
&nbspDiv. Payout;0%;0%;0%;28%;25%;27%;45%;33%;36%;38%;31%;27%;23%;28%;35%;37%;68%;95%;62%;24%
&nbspBeta;0.90;0.72;0.75;0.72;1.08;1.01;1.08;1.01;1.00;1.07;1.04;0.77;1.18;1.08;1.08;1.05;1.22;1.03;0.85;1.12
&nbspValorização;-9%;98%;40%;65%;51%;20%;-21%;53%;8%;-11%;-4%;1%;20%;-13%;44%;37%;24%;22%;-14%;-1%
&nbspNegócios/dia;202;196;258;395;674;2046;4029;6742;6995;10506;14507;18427;22992;29827;28807;24191;27023;27781;38840;34276
&nbspVolume diário;7;7;10;24;33;69;76;77;74;94;108;119;133;169;172;156;229;283;315;344
