Unnamed: 0;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;8.35;21.36;27.65;33.33;4.76;3.60;3.53;1.90;2.22;2.93;3.24;3.01;3.16;3.70;3.94;3.32;3.66;2.55;2.71;1.93;2.13
&nbspP/L;20.96;7.30;9.13;10.50;9.88;17.99;12.16;11.29;13.49;10.57;8.34;10.36;9.31;8.74;6.23;9.03;10.30;11.80;11.81;14.48;12.61
&nbspVPA;67.89;81.22;104.25;123.34;14.09;19.68;12.09;10.66;11.19;13.40;15.81;16.43;16.34;17.50;17.98;17.75;19.38;13.44;13.46;15.07;15.54
&nbspP/VP;2.58;1.92;2.42;2.84;3.34;3.29;3.56;2.02;2.68;2.31;1.71;1.90;1.80;1.85;1.37;1.69;1.95;2.24;2.38;1.85;1.73
&nbspROE;12%;26%;27%;27%;34%;18%;29%;18%;20%;22%;20%;18%;19%;21%;22%;19%;19%;19%;20%;13%;14%
&nbspDiv. Yield;3,17%;4,74%;4,39%;2,63%;17,46%;2,13%;4,44%;7,16%;2,40%;3,13%;3,92%;3,98%;3,67%;3,41%;6,71%;5,90%;4,14%;7,59%;8,77%;4,62%;1,97%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;38%;32%;36%;41%;34%;32%;30%;36%;120%;81%;98%;64%;23%
&nbspBeta;0.28;0.60;0.27;0.35;0.40;0.93;0.81;0.58;0.78;0.86;1.03;0.78;0.61;1.01;0.96;0.97;0.90;0.95;0.89;0.78;1.06
&nbspValorização;-3%;-12%;67%;37%;37%;41%;34%;-33%;46%;2%;-10%;15%;6%;25%;-8%;52%;32%;23%;9%;-11%;-1%
&nbspNegócios/dia;3;4;5;5;5;12;18;31;93;224;536;617;474;623;380;543;519;733;1566;3699;2468
&nbspVolume diário;3;1;1;0;2;1;1;1;2;5;8;6;5;6;3;4;16;7;17;24;17
