Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.16;0.02;0.06;-0.11;-0.11;0.27;0.39;0.83;1.84;0.25;0.38;0.08;2.37;1.78;4.84
&nbspP/L;-38.71;288.37;166.58;-67.96;-56.15;22.35;22.48;13.44;6.72;46.00;26.09;150.60;10.89;13.33;5.95
&nbspVPA;2.83;4.37;7.48;7.50;7.29;7.53;8.06;8.96;10.61;8.72;9.58;10.24;11.90;16.60;16.82
&nbspP/VP;2.12;1.13;1.25;0.96;0.83;0.80;1.09;1.25;1.16;1.31;1.02;1.13;2.17;1.43;1.71
&nbspP/EBIT;19.01;9.29;22.99;7.81;10.12;6.28;6.05;4.13;3.76;4.83;3.97;4.40;5.22;3.03;3.30
&nbspP/EBITDA;12.08;5.93;16.85;5.09;5.87;3.94;4.06;3.12;2.68;2.90;2.39;2.64;3.56;2.19;2.43
&nbspP/Ativos;0.77;0.43;0.51;0.40;0.38;0.34;0.37;0.39;0.28;0.32;0.25;0.28;0.56;0.38;0.45
&nbspEbitda;535;1168;1285;3513;3072;4334;6194;10376;12872;11248;11219;11989;19796;28341;31103
&nbspMarg. Ebitda;4%;4%;4%;6%;5%;6%;7%;9%;8%;7%;7%;7%;10%;10%;11%
&nbspPSR;0.46;0.23;0.63;0.32;0.29;0.23;0.27;0.27;0.21;0.19;0.16;0.17;0.34;0.23;0.26
&nbspROE;-5%;0%;1%;-1%;-1%;4%;5%;9%;17%;3%;4%;1%;20%;11%;29%
&nbspROA;-2%;0%;0%;-1%;-1%;2%;2%;3%;4%;1%;1%;0%;5%;3%;8%
&nbspROIC;5%;5%;2%;6%;5%;7%;8%;13%;10%;8%;8%;8%;14%;17%;17%
&nbspEV/EBIT;226.39;105.83;96.73;38.56;48.74;32.46;23.34;12.57;13.10;17.80;17.56;16.77;8.62;5.83;5.68
&nbspEV/EBITDA;143.83;67.52;70.90;25.10;28.26;20.38;15.66;9.48;9.34;10.68;10.56;10.05;5.87;4.21;4.17
&nbspDiv. Yield;0,00%;0,20%;0,11%;0,42%;0,00%;0,00%;0,68%;0,71%;1,38%;3,60%;0,31%;0,43%;0,00%;0,00%;3,54%
&nbspDiv. Payout;-10%;212%;94%;0%;0%;0%;15%;9%;33%;156%;9%;60%;0%;31%;11%
&nbspBeta;0.87;1.06;0.97;1.01;1.17;1.18;0.78;1.11;0.60;0.80;1.04;0.71;0.70;0.90;0.49
&nbspValorização;-14%;-17%;88%;-26%;-15%;7%;44%;32%;18%;-1%;-13%;15%;114%;-13%;27%
&nbspNegócios/dia;783;1681;2397;4619;4154;6525;9270;12016;19563;20213;22053;16940;29463;41135;35410
&nbspVolume diário;19;19;19;39;23;25;34;50;109;100;108;82;267;415;382
