Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.15;0.36;0.35;0.50;0.52;0.43;0.74;0.10;0.21;-0.48;-0.05;0.37;0.51;0.93;1.19
&nbspP/L;37.12;4.60;10.66;6.94;10.58;20.03;5.75;22.57;6.01;-2.95;-34.07;5.16;13.91;8.38;6.12
&nbspVPA;1.86;2.06;2.21;2.53;2.73;3.02;5.13;5.30;5.08;4.22;4.08;4.31;4.79;5.59;5.85
&nbspP/VP;3.05;0.80;1.70;1.38;2.01;2.85;0.83;0.44;0.25;0.33;0.43;0.45;1.49;1.40;1.24
&nbspP/EBIT;30.54;3.74;9.03;6.32;8.73;14.04;3.39;4.32;1.46;-4.84;4.87;3.08;7.46;6.56;5.12
&nbspP/EBITDA;27.56;2.92;6.15;5.75;7.76;13.00;3.31;4.13;1.40;-5.34;4.51;2.95;7.16;6.35;4.94
&nbspP/Ativos;2.02;0.44;0.87;0.70;0.92;1.13;0.35;0.17;0.10;0.16;0.21;0.21;0.78;0.73;0.65
&nbspEbitda;88;241;260;260;303;285;556;246;476;-139;204;342;636;842;1007
&nbspMarg. Ebitda;29%;36%;52%;34%;33%;32%;83%;41%;76%;-36%;57%;71%;100%;72%;73%
&nbspPSR;7.99;1.04;3.22;1.96;2.58;4.13;2.75;1.69;1.06;1.93;2.59;2.08;7.15;4.57;3.59
&nbspROE;8%;17%;16%;20%;19%;14%;14%;2%;4%;-11%;-1%;9%;11%;17%;20%
&nbspROA;5%;9%;8%;10%;9%;6%;6%;1%;2%;-5%;-1%;4%;6%;9%;11%
&nbspROIC;7%;12%;10%;16%;14%;10%;12%;4%;7%;-3%;4%;7%;12%;13%;15%
&nbspEV/EBIT;70.64;30.63;33.03;23.03;21.67;24.51;12.82;31.91;15.60;-44.33;35.49;19.39;9.95;7.27;5.75
&nbspEV/EBITDA;63.74;23.86;22.50;20.93;19.26;22.69;12.53;30.52;14.98;-48.90;32.91;18.59;9.55;7.04;5.55
&nbspDiv. Yield;0,00%;2,42%;6,13%;5,14%;4,20%;2,21%;4,46%;2,55%;0,00%;0,00%;0,00%;0,00%;2,81%;1,92%;4,95%
&nbspDiv. Payout;23%;10%;30%;53%;9%;43%;25%;56%;0%;0%;0%;0%;10%;18%;10%
&nbspBeta;0.48;0.62;0.48;0.88;0.86;0.33;0.92;0.65;0.85;0.91;1.37;0.87;1.07;1.14;1.20
&nbspValorização;-32%;-70%;150%;-1%;68%;62%;-49%;-40%;-43%;18%;21%;7%;278%;5%;-2%
&nbspNegócios/dia;63;27;718;376;426;821;1891;625;346;514;896;675;2218;13257;10397
&nbspVolume diário;3;1;5;1;1;3;4;1;1;1;2;2;8;70;49
