Unnamed: 0;2018;2019;2020;2021
&nbspLPA;2.74;3.25;2.01;2.42
&nbspP/L;8.31;11.62;13.05;13.60
&nbspVPA;32.48;34.40;36.11;36.57
&nbspP/VP;0.70;1.10;0.73;0.90
&nbspP/EBIT;4.60;6.88;6.92;8.64
&nbspP/EBITDA;3.68;5.44;4.78;5.98
&nbspP/Ativos;0.37;0.58;0.33;0.41
&nbspEbitda;545;611;483;484
&nbspMarg. Ebitda;75%;81%;71%;70%
&nbspPSR;2.77;4.40;3.42;4.21
&nbspROE;8%;9%;6%;7%
&nbspROA;4%;5%;3%;3%
&nbspROIC;9%;10%;6%;6%
&nbspEV/EBIT;10.83;9.35;14.99;14.89
&nbspEV/EBITDA;8.65;7.39;10.36;10.31
&nbspDiv. Yield;1,76%;1,06%;0,00%;0,00%
&nbspDiv. Payout;39%;39%;27%;13%
&nbspBeta;0.20;0.53;1.10;0.98
&nbspValorização;-13%;62%;-31%;32%
&nbspNegócios/dia;24;542;1365;1603
&nbspVolume diário;0;7;8;9
