Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.00;0.00;0.02;0.02;1.26;2.44;5.09;0.19;-0.84;-1.29;0.42;1.52;2.58;2.93
&nbspP/L;-98.20;-117.83;16.97;9.71;9.68;16.77;9.88;85.25;-21.53;-15.11;35.69;19.37;14.70;19.50
&nbspVPA;0.18;0.18;0.20;0.23;12.22;13.90;19.31;18.66;17.79;16.53;16.76;17.75;19.65;20.33
&nbspP/VP;0.82;1.99;1.71;1.02;1.00;2.95;2.61;0.87;1.01;1.18;0.89;1.66;1.93;2.81
&nbspP/EBIT;5.31;-47.13;10.91;7.53;7.43;12.63;9.19;142.08;-9.87;-13.52;17.84;14.62;12.34;15.48
&nbspP/EBITDA;0.00;-31.03;13.97;7.58;7.92;11.41;9.45;26.92;-12.28;-13.10;17.64;13.20;8.93;11.12
&nbspP/Ativos;0.38;0.91;0.83;0.46;0.54;1.59;1.56;0.54;0.62;0.72;0.56;1.15;1.05;1.58
&nbspEbitda;0;-15;33;40;40;94;140;16;-39;-39;22;59;112;135
&nbspMarg. Ebitda;0%;-7%;9%;9%;10%;16%;15%;2%;-8%;-7%;4%;10%;17%;17%
&nbspPSR;0.60;2.22;1.25;0.71;0.75;1.81;1.46;0.60;1.00;0.89;0.68;1.33;1.49;1.93
&nbspROE;-1%;-2%;10%;10%;10%;18%;26%;1%;-5%;-8%;2%;9%;13%;14%
&nbspROA;0%;-1%;5%;5%;6%;9%;16%;1%;-3%;-5%;2%;6%;7%;8%
&nbspROIC;9%;-2%;10%;9%;9%;16%;20%;0%;-8%;-7%;4%;10%;14%;15%
&nbspEV/EBIT;43.77;-161.05;37.32;38.81;36.08;18.12;10.50;514.51;-31.57;-39.59;69.84;27.97;15.50;13.43
&nbspEV/EBITDA;0.00;-106.01;47.77;39.07;38.45;16.37;10.80;97.49;-39.31;-38.36;69.03;25.25;11.21;9.64
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;1,72%;1,73%;1,95%;8,40%;0,56%;0,00%;0,00%;0,85%;1,42%;3,47%
&nbspDiv. Payout;0%;0%;0%;0%;15%;28%;19%;700%;-9%;0%;0%;15%;21%;18%
&nbspBeta;0.75;0.27;1.02;0.53;0.00;0.17;0.27;0.57;0.46;0.54;0.28;0.35;0.44;0.39
&nbspValorização;-57%;140%;-3%;-36%;13%;248%;27%;-65%;18%;12%;-26%;96%;28%;61%
&nbspNegócios/dia;502;253;1323;195;82;153;173;115;158;125;239;167;558;1154
&nbspVolume diário;4;2;10;1;1;1;2;1;1;1;1;1;5;10
