Unnamed: 0;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.77;-1.32;2.62;0.56;0.17;0.66;-2.13;1.05
&nbspP/L;18.88;-17.71;6.76;31.55;91.88;27.82;-12.44;25.26
&nbspVPA;7.46;5.65;7.50;7.56;6.04;6.01;3.90;3.37
&nbspP/VP;1.96;4.15;2.36;2.33;2.63;3.06;6.78;7.85
&nbspP/EBIT;8.12;14.88;12.00;10.85;5.76;7.89;9.25;9.10
&nbspP/EBITDA;5.20;8.91;7.82;6.78;4.29;5.45;7.32;7.26
&nbspP/Ativos;0.65;0.84;0.57;0.55;0.58;0.57;0.84;0.77
&nbspEbitda;2652;2491;2146;2486;4002;3654;4062;4093
&nbspMarg. Ebitda;54%;44%;30%;30%;40%;36%;34%;32%
&nbspPSR;2.82;3.90;2.37;2.01;1.72;1.94;2.49;2.32
&nbspROE;10%;-23%;35%;7%;3%;11%;-55%;31%
&nbspROA;3%;-5%;8%;2%;1%;2%;-7%;3%
&nbspROIC;11%;7%;6%;7%;14%;11%;12%;12%
&nbspEV/EBIT;20.48;28.14;29.74;26.30;14.07;17.39;15.35;15.74
&nbspEV/EBITDA;13.13;16.86;19.37;16.43;10.49;12.02;12.15;12.55
&nbspDiv. Yield;5,21%;1,75%;2,77%;2,33%;6,86%;3,59%;0,08%;0,00%
&nbspDiv. Payout;45%;-30%;18%;95%;449%;134%;-9%;4%
&nbspBeta;0.44;0.34;0.34;0.44;0.20;0.59;0.51;0.38
&nbspValorização;28%;67%;-17%;6%;-7%;16%;41%;2%
&nbspNegócios/dia;4666;6827;8832;8263;10664;11967;22854;26778
&nbspVolume diário;30;63;52;38;64;68;140;224
