Unnamed: 0;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.22;1.09;0.53;0.37;0.53;0.69;-0.37;0.37;0.64;0.20;0.82;0.32;0.15;-0.26;0.52;0.11;0.03;0.13;-0.43;0.21
&nbspP/L;-4.61;3.44;10.20;11.30;10.04;9.52;-8.93;14.50;9.21;39.68;15.59;38.66;18.63;-14.39;5.43;28.14;81.87;26.82;-12.25;23.98
&nbspVPA;1.25;1.98;2.36;2.55;2.80;3.13;2.48;2.66;5.62;5.40;5.91;5.88;1.49;1.13;1.50;1.51;1.21;1.20;0.78;0.67
&nbspP/VP;0.83;1.90;2.29;1.63;1.91;2.11;1.34;1.99;1.04;1.48;2.17;2.09;1.93;3.37;1.90;2.08;2.34;2.95;6.68;7.45
&nbspP/EBIT;1.48;2.19;6.60;7.50;10.47;11.87;9.35;15.77;6.53;9.20;7.14;10.05;8.01;12.09;9.65;9.68;5.13;7.60;9.10;8.64
&nbspP/EBITDA;0.00;0.00;0.00;5.07;6.90;8.04;4.17;6.52;3.88;5.46;5.25;5.97;5.14;7.24;6.28;6.05;3.83;5.26;7.21;6.89
&nbspP/Ativos;0.20;0.90;1.13;0.81;0.80;0.76;0.37;0.61;0.44;0.58;0.83;0.75;0.64;0.69;0.46;0.49;0.52;0.55;0.83;0.73
&nbspEbitda;0;0;0;752;711;754;729;747;1382;1344;2237;1886;2652;2491;2146;2486;4002;3654;4062;4093
&nbspMarg. Ebitda;0%;0%;0%;28%;26%;27%;24%;25%;38%;35%;54%;41%;54%;44%;30%;30%;40%;36%;34%;32%
&nbspPSR;0.34;1.16;1.82;1.41;1.81;2.17;0.98;1.65;1.47;1.89;2.82;2.45;2.78;3.17;1.90;1.79;1.53;1.87;2.45;2.20
&nbspROE;-18%;55%;22%;14%;19%;22%;-15%;14%;11%;4%;14%;5%;10%;-23%;35%;7%;3%;11%;-55%;31%
&nbspROA;-4%;26%;11%;7%;8%;8%;-4%;4%;5%;1%;5%;2%;3%;-5%;8%;2%;1%;2%;-7%;3%
&nbspROIC;14%;42%;18%;11%;8%;7%;4%;4%;9%;8%;15%;10%;11%;7%;6%;7%;14%;11%;12%;12%
&nbspEV/EBIT;50.80;19.53;41.54;61.73;69.43;65.91;107.76;110.66;38.57;40.49;19.98;29.96;20.48;28.14;29.74;26.30;14.07;17.39;15.35;15.74
&nbspEV/EBITDA;0.00;0.00;0.00;41.71;45.79;44.64;48.07;45.76;22.94;24.03;14.69;17.79;13.13;16.86;19.37;16.43;10.49;12.02;12.15;12.55
&nbspDiv. Yield;2,91%;1,86%;5,74%;5,06%;4,11%;4,99%;8,16%;2,64%;3,59%;3,00%;2,50%;2,85%;5,21%;2,10%;3,51%;2,23%;6,71%;3,94%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;56%;39%;44%;-69%;37%;31%;112%;37%;103%;45%;-30%;18%;95%;449%;134%;-9%;4%
&nbspBeta;1.10;0.53;0.63;1.13;0.87;1.04;0.79;1.08;0.92;0.80;0.64;0.54;0.46;0.33;0.36;0.44;0.18;0.47;0.51;0.42
&nbspValorização;0%;280%;48%;-20%;36%;31%;-47%;57%;14%;43%;70%;-1%;24%;39%;-18%;16%;-8%;26%;45%;-2%
&nbspNegócios/dia;54;105;191;223;335;724;1033;1923;2355;3236;5370;6489;2999;306;268;296;239;891;3383;2233
&nbspVolume diário;0;3;4;4;7;11;8;8;12;15;25;33;9;1;0;1;0;2;8;11
