Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;3.74;0.71;-0.44;0.82;1.50;1.94;1.08;2.93;1.88;0.20;0.17;0.25;0.45;0.41;0.37;0.43;0.30;0.06;0.02;0.05;0.14;0.36;0.17;0.10
&nbspP/L;1.57;9.91;-8.12;4.95;6.12;15.73;37.48;24.38;63.43;78.15;36.55;62.29;34.30;34.98;49.93;36.94;57.10;340.26;837.12;332.15;138.30;71.35;155.87;228.00
&nbspVPA;12.21;3.08;2.59;3.40;3.41;3.34;2.98;4.67;6.89;0.60;0.53;0.67;0.75;1.55;1.24;1.57;2.58;2.50;2.21;3.82;3.93;4.60;8.50;8.49
&nbspP/VP;0.48;2.27;1.37;1.19;2.70;9.13;13.63;15.31;17.33;25.99;11.90;23.15;20.33;9.21;14.82;10.01;6.69;7.75;7.69;4.46;5.02;5.64;3.09;2.62
&nbspP/EBIT;1.74;-19.82;-24.37;3.51;6.30;10.43;13.10;13.77;28.42;19.95;7.59;13.88;10.32;9.35;14.04;10.25;12.12;11.78;11.91;14.24;18.34;19.75;34.19;33.90
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.13;9.11;8.10;11.86;8.55;9.85;9.21;9.08;10.15;11.88;13.59;19.50;16.52
&nbspP/Ativos;0.23;0.49;0.23;0.20;0.41;1.09;1.31;1.73;2.03;2.24;0.69;1.67;1.40;1.12;1.56;1.05;1.21;1.11;1.17;0.99;1.11;1.25;1.03;0.94
&nbspEbitda;0;0;0;0;0;0;0;0;0;0;0;1013;1227;1318;1461;1741;2070;2476;2675;2682;2654;3060;2517;2512
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;12%;13%;13%;13%;13%;13%;14%;15%;16%;15%;16%;12%;11%
&nbspPSR;0.18;0.40;0.18;0.19;0.39;1.02;1.18;1.73;2.31;1.98;0.65;1.35;1.19;1.05;1.52;1.11;1.26;1.27;1.34;1.60;1.78;2.19;2.31;1.85
&nbspROE;31%;23%;-17%;24%;44%;58%;36%;63%;27%;33%;33%;37%;59%;26%;30%;27%;12%;2%;1%;1%;4%;8%;2%;1%
&nbspROA;15%;5%;-3%;4%;7%;7%;3%;7%;3%;3%;2%;3%;4%;3%;3%;3%;2%;0%;0%;0%;1%;2%;1%;0%
&nbspROIC;15%;-3%;-1%;7%;8%;14%;14%;17%;9%;16%;12%;16%;30%;24%;24%;24%;22%;21%;17%;15%;13%;13%;8%;6%
&nbspEV/EBIT;269.16;-1704.13;-4262.93;541.65;437.75;226.35;209.06;125.15;142.63;78.78;76.75;56.71;40.89;39.27;36.74;31.54;27.13;24.33;24.25;24.95;27.79;23.46;29.64;35.98
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;45.45;36.11;34.00;31.03;26.31;22.05;19.02;18.48;17.80;17.99;16.15;16.91;17.53
&nbspDiv. Yield;0,00%;1,43%;5,35%;0,00%;16,20%;5,08%;3,40%;1,30%;1,35%;4,57%;0,64%;0,26%;0,46%;0,77%;0,60%;0,70%;0,70%;0,57%;0,71%;0,12%;0,41%;0,31%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;25%;16%;29%;28%;30%;38%;199%;400%;140%;44%;22%;94%;165%
&nbspBeta;0.00;0.00;0.83;0.97;0.52;0.36;0.49;0.64;0.75;0.96;1.19;0.89;0.95;1.05;0.80;0.74;0.70;0.97;0.93;1.16;1.12;1.00;1.08;0.59
&nbspValorização;6%;22%;-50%;8%;185%;283%;34%;81%;74%;26%;-58%;143%;-2%;-5%;59%;-15%;41%;16%;9%;3%;19%;32%;-2%;-13%
&nbspNegócios/dia;13;16;77;59;25;40;73;155;265;823;2622;3203;3988;5274;6059;6408;6991;7089;7640;13999;14857;15386;29310;25222
&nbspVolume diário;0;0;1;0;1;1;2;7;11;27;35;27;37;36;33;34;30;38;39;87;87;96;264;275
