Unnamed: 0;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.08;0.26;0.40;0.32;0.48;0.75;1.64;0.67;0.76;1.04
&nbspP/L;158.58;26.80;10.66;10.57;12.53;25.54;22.95;34.08;38.53;26.58
&nbspVPA;4.63;4.67;4.72;4.99;4.61;5.86;21.95;7.67;8.23;8.65
&nbspP/VP;2.63;1.50;0.90;0.68;1.29;3.28;1.72;2.96;3.56;3.18
&nbspP/EBIT;10.57;5.24;2.37;1.78;2.57;7.07;8.04;14.46;19.19;13.70
&nbspP/EBITDA;5.16;2.80;1.38;1.00;1.56;4.38;5.24;9.10;8.50;7.10
&nbspP/Ativos;0.67;0.37;0.20;0.14;0.29;0.66;0.50;1.05;1.03;1.06
&nbspEbitda;154;163;201;223;249;361;841;1270;1754;1973
&nbspMarg. Ebitda;35%;30%;32%;31%;33%;33%;29%;26%;31%;33%
&nbspPSR;1.79;0.84;0.44;0.31;0.52;1.45;1.51;2.41;2.67;2.34
&nbspROE;2%;6%;8%;6%;10%;13%;7%;9%;9%;12%
&nbspROA;0%;1%;2%;1%;2%;3%;2%;3%;3%;4%
&nbspROIC;9%;9%;12%;13%;16%;14%;11%;11%;9%;11%
&nbspEV/EBIT;192.86;166.94;125.58;117.24;96.96;67.10;29.11;20.88;22.45;17.97
&nbspEV/EBITDA;94.19;89.14;73.17;65.79;58.84;41.59;18.97;13.13;9.95;9.31
&nbspDiv. Yield;1,15%;2,57%;3,99%;6,74%;9,05%;1,20%;1,94%;4,54%;1,26%;1,67%
&nbspDiv. Payout;220%;65%;50%;14%;161%;23%;54%;38%;20%;32%
&nbspBeta;0.42;0.18;0.17;0.27;0.04;0.10;0.66;0.70;1.29;0.94
&nbspValorização;45%;-42%;-37%;-7%;95%;229%;91%;79%;29%;-4%
&nbspNegócios/dia;123;202;182;59;27;85;749;3364;12512;11321
&nbspVolume diário;1;1;1;0;0;1;6;30;77;73
