Unnamed: 0;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;4.44;1.40;1.53;1.54;1.36;0.04;1.76;2.29;2.01;0.96;1.78
&nbspP/L;9.57;17.82;17.94;13.65;18.25;532.73;13.55;10.96;14.32;21.87;18.46
&nbspVPA;31.38;10.62;10.71;10.48;10.05;9.47;10.52;10.54;10.10;10.45;11.45
&nbspP/VP;1.35;2.36;2.56;2.00;2.46;2.19;2.27;2.38;2.85;2.01;2.88
&nbspP/EBIT;7.48;11.88;11.27;9.67;11.94;156.69;9.94;8.55;10.65;13.87;14.05
&nbspP/EBITDA;4.88;8.41;8.25;6.96;8.53;22.75;7.55;6.90;8.38;9.07;10.46
&nbspP/Ativos;0.69;1.37;1.45;1.06;1.28;1.13;1.38;1.39;1.59;0.96;1.54
&nbspEbitda;372;381;426;386;372;117;405;467;441;297;404
&nbspMarg. Ebitda;17%;17%;18%;17%;15%;5%;18%;18%;17%;12%;15%
&nbspPSR;0.81;1.44;1.47;1.15;1.31;1.19;1.35;1.24;1.46;1.12;1.59
&nbspROE;14%;13%;14%;15%;13%;0%;17%;22%;20%;9%;16%
&nbspROA;7%;8%;8%;8%;7%;0%;10%;13%;11%;4%;8%
&nbspROIC;11%;13%;15%;13%;12%;1%;16%;18%;17%;10%;15%
&nbspEV/EBIT;18.69;16.77;14.29;16.17;16.99;260.87;13.63;11.63;12.80;21.40;13.81
&nbspEV/EBITDA;12.20;11.88;10.46;11.64;12.14;37.88;10.35;9.40;10.08;14.00;10.28
&nbspDiv. Yield;10,24%;7,32%;4,56%;9,64%;6,87%;2,99%;2,39%;7,17%;7,50%;0,43%;2,82%
&nbspDiv. Payout;97%;88%;85%;129%;124%;1.720%;-5%;78%;107%;16%;9%
&nbspBeta;0.43;0.14;0.34;0.22;0.27;0.33;0.72;0.17;0.44;0.76;0.71
&nbspValorização;4%;82%;11%;-14%;27%;-10%;19%;10%;21%;-30%;60%
&nbspNegócios/dia;37;463;687;636;729;1447;1006;1498;1301;2282;2937
&nbspVolume diário;1;5;6;4;4;6;5;7;6;9;15
