Unnamed: 0;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-1.11;5.30;4.94;3.08;2.83;1.53;2.09;2.89;3.26;0.19;-1.53;0.61;0.82;4.37;2.28;1.60
&nbspP/L;-20.68;5.41;4.43;8.43;8.99;18.82;10.68;7.66;5.23;51.77;-11.38;27.23;20.15;5.44;10.66;9.76
&nbspVPA;11.26;13.11;13.74;14.17;16.33;15.79;14.83;17.05;17.79;17.97;16.44;16.83;16.62;20.50;23.28;27.58
&nbspP/VP;2.04;2.18;1.59;1.83;1.56;1.82;1.50;1.30;0.96;0.55;1.06;0.99;0.99;1.16;1.04;0.56
&nbspP/EBIT;7.25;7.39;3.67;5.89;4.17;6.73;4.14;3.45;2.49;3.15;6.87;2.90;3.50;5.61;4.15;2.70
&nbspP/EBITDA;6.12;5.22;2.92;4.40;3.25;4.76;3.13;2.66;1.92;1.84;180.33;2.01;2.23;3.85;3.11;2.02
&nbspP/Ativos;0.36;0.65;0.47;0.57;0.54;0.53;0.39;0.35;0.25;0.14;0.25;0.23;0.19;0.30;0.28;0.17
&nbspEbitda;503;1116;1526;1201;1595;1233;1456;1697;1810;1099;20;1694;1507;1875;2372;2344
&nbspMarg. Ebitda;9%;22%;28%;22%;25%;18%;19%;23%;20%;10%;0%;15%;13%;14%;18%;17%
&nbspPSR;0.57;1.17;0.83;0.97;0.80;0.85;0.60;0.61;0.38;0.19;0.37;0.30;0.28;0.54;0.56;0.35
&nbspROE;-10%;40%;36%;22%;17%;10%;14%;17%;18%;1%;-9%;4%;5%;21%;10%;6%
&nbspROA;-2%;12%;11%;7%;6%;3%;4%;5%;5%;0%;-2%;1%;1%;6%;3%;2%
&nbspROIC;5%;9%;14%;10%;15%;9%;10%;13%;12%;5%;4%;9%;7%;7%;9%;9%
&nbspEV/EBIT;20.96;9.85;6.62;9.28;6.29;10.60;9.23;7.57;8.56;20.19;23.55;11.01;14.77;10.07;7.00;6.49
&nbspEV/EBITDA;17.70;6.96;5.27;6.94;4.90;7.50;6.96;5.83;6.60;11.76;617.86;7.64;9.43;6.91;5.25;4.86
&nbspDiv. Yield;0,00%;8,90%;12,44%;11,20%;15,34%;9,48%;7,71%;4,43%;10,52%;7,78%;0,29%;0,00%;0,85%;0,80%;0,00%;2,82%
&nbspDiv. Payout;0%;48%;55%;95%;138%;150%;100%;44%;55%;297%;-16%;0%;17%;3%;0%;0%
&nbspBeta;0.97;1.10;0.67;0.35;0.42;0.51;0.36;0.86;0.82;0.78;1.11;1.12;0.75;0.83;1.14;0.88
&nbspValorização;37%;30%;-11%;15%;16%;24%;-16%;5%;-13%;-39%;100%;-5%;-1%;44%;2%;-33%
&nbspNegócios/dia;535;415;454;1179;1821;2525;2688;3174;3464;3924;4287;4445;4253;6708;10127;10203
&nbspVolume diário;6;8;6;16;19;23;17;17;16;13;15;24;20;41;57;55
