Unnamed: 0;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.35;1.48;1.37;0.41;0.52;0.43;0.21;-0.42;-0.41
&nbspP/L;35.40;34.23;32.42;42.25;41.37;75.29;167.72;-88.69;-92.00
&nbspVPA;12.59;13.56;14.20;6.96;7.04;6.36;9.45;8.55;8.55
&nbspP/VP;3.81;3.72;3.12;2.49;3.04;5.13;3.75;4.38;4.38
&nbspP/EBIT;38.46;35.78;29.64;42.25;47.44;59.57;81.82;-154.24;-164.74
&nbspP/EBITDA;25.60;22.63;17.06;23.08;24.65;32.12;33.42;63.85;45.40
&nbspP/Ativos;2.90;2.68;2.08;1.94;2.27;3.29;2.62;2.65;2.75
&nbspEbitda;87;104;122;124;144;169;201;111;156
&nbspMarg. Ebitda;30%;28%;27%;25%;25%;25%;25%;13%;17%
&nbspPSR;7.56;6.42;4.62;5.80;6.23;7.91;8.51;8.10;7.89
&nbspROE;11%;11%;10%;6%;7%;7%;2%;-5%;-5%
&nbspROA;8%;8%;6%;5%;5%;4%;2%;-3%;-3%
&nbspROIC;14%;11%;9%;8%;7%;8%;5%;-2%;-2%
&nbspEV/EBIT;117.17;104.56;99.56;96.59;88.68;75.49;78.56;-149.04;-159.53
&nbspEV/EBITDA;78.00;66.13;57.30;52.76;46.07;40.70;32.09;61.70;43.96
&nbspDiv. Yield;0,71%;1,25%;1,85%;1,61%;1,03%;0,43%;0,00%;0,00%;1,50%
&nbspDiv. Payout;46%;42%;61%;35%;43%;53%;62%;-24%;-25%
&nbspBeta;0.12;0.19;0.35;0.36;0.30;0.60;0.52;0.93;0.11
&nbspValorização;51%;4%;-12%;18%;24%;53%;3%;0%;1%
&nbspNegócios/dia;308;352;650;839;2265;3444;6553;8183;2205
&nbspVolume diário;7;8;8;7;11;21;51;73;45
