Unnamed: 0;2018;2019;2020;2021
&nbspLPA;0.68;0.92;1.39;2.43
&nbspP/L;26.54;35.28;24.61;12.74
&nbspVPA;31.19;28.92;30.14;31.34
&nbspP/VP;0.58;1.12;1.14;0.99
&nbspP/EBIT;15.03;18.42;13.98;8.59
&nbspP/EBITDA;14.75;17.53;14.00;8.59
&nbspP/Ativos;0.39;0.83;0.83;0.69
&nbspEbitda;85;189;250;368
&nbspMarg. Ebitda;81%;148%;177%;255%
&nbspPSR;12.00;25.91;24.79;21.94
&nbspROE;2%;3%;5%;8%
&nbspROA;1%;2%;3%;5%
&nbspROIC;3%;5%;7%;9%
&nbspEV/EBIT;49.66;20.63;14.71;10.33
&nbspEV/EBITDA;48.72;19.63;14.73;10.33
&nbspDiv. Yield;0,00%;0,43%;0,61%;1,07%
&nbspDiv. Payout;6%;11%;15%;8%
&nbspBeta;-0.84;0.31;1.06;0.89
&nbspValorização;3%;94%;7%;-7%
&nbspNegócios/dia;3234;1313;2572;2195
&nbspVolume diário;27;6;14;12
