Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.70;1.09;-0.08;0.22;-0.91;-0.28;0.07;-0.97;-4.36;5.12;-25.95;0.16;0.12;0.12;1.01
&nbspP/L;19.76;4.65;-103.96;46.86;-7.53;-30.50;117.01;-3.51;-0.28;0.50;-0.13;49.50;167.52;131.29;18.50
&nbspVPA;6.41;7.02;6.88;7.14;6.23;6.19;6.49;5.50;1.12;10.30;-16.83;-9.30;3.04;3.35;3.12
&nbspP/VP;2.15;0.72;1.24;1.46;1.10;1.38;1.26;0.62;1.08;0.25;-0.21;-0.84;6.87;4.84;6.02
&nbspP/EBIT;13.75;8.01;-66.16;22.26;-8.27;16.27;7.55;2.37;1.55;0.27;-0.16;2.22;12.59;8.84;9.71
&nbspP/EBITDA;13.93;6.05;70.08;12.74;-21.91;6.59;4.60;1.56;0.76;0.18;-0.18;1.50;8.03;5.70;6.25
&nbspP/Ativos;1.63;0.55;0.79;0.78;0.39;0.39;0.34;0.14;0.04;0.03;0.07;0.26;1.14;0.77;0.91
&nbspEbitda;91;71;10;70;-27;111;152;187;136;260;-443;198;271;299;317
&nbspMarg. Ebitda;28%;16%;2%;11%;-4%;15%;19%;19%;13%;33%;-51%;20%;26%;27%;28%
&nbspPSR;3.89;0.98;1.71;1.44;0.89;1.02;0.87;0.30;0.10;0.06;0.09;0.30;2.07;1.52;1.72
&nbspROE;11%;15%;-1%;3%;-15%;-5%;1%;-18%;-389%;50%;154%;-2%;4%;4%;33%
&nbspROA;8%;12%;-1%;2%;-5%;-1%;0%;-4%;-16%;5%;-52%;1%;1%;1%;5%
&nbspROIC;12%;7%;-1%;4%;-5%;3%;5%;6%;3%;11%;-50%;13%;15%;14%;13%
&nbspEV/EBIT;21.58;37.39;-198.75;58.18;-37.74;66.50;34.37;27.74;57.38;18.70;-6.39;24.00;14.90;13.82;13.95
&nbspEV/EBITDA;21.86;28.26;210.53;33.29;-99.96;26.92;20.96;18.23;28.29;12.54;-7.21;16.24;9.51;8.91;8.98
&nbspDiv. Yield;0,00%;3,56%;2,71%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;17%;-271%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.78;0.60;0.46;0.64;0.60;0.43;0.12;0.42;0.31;0.67;0.88;0.85;0.62;1.42;1.16
&nbspValorização;-16%;-63%;70%;25%;-33%;26%;-6%;-59%;-61%;-62%;35%;127%;157%;-28%;19%
&nbspNegócios/dia;457;216;156;82;152;81;118;446;364;266;202;351;1419;4234;3308
&nbspVolume diário;8;5;2;1;1;1;2;2;1;1;1;1;8;22;14
