Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.14;-1.01;1.38;2.39;2.69;2.30;1.44;-0.03;-3.88;-0.24;-0.50;-0.37;-0.02;0.10;0.19
&nbspP/L;30.61;-6.53;17.74;16.31;9.68;16.47;10.01;-247.83;-0.58;-16.22;-11.28;-16.90;-468.73;48.99;23.56
&nbspVPA;0.58;0.06;0.38;6.05;9.37;11.14;6.36;5.80;1.27;1.16;0.62;0.17;1.20;1.17;1.18
&nbspP/VP;60.12;108.79;63.50;6.45;2.77;3.39;2.27;1.12;1.77;3.35;9.09;37.82;7.94;4.25;3.79
&nbspP/EBIT;24.05;-7.77;15.88;14.65;15.98;26.31;13.76;-13.77;-0.67;-13.90;-8.97;-24.07;351.55;20.41;13.19
&nbspP/EBITDA;23.42;-18.04;14.38;12.77;10.62;15.49;9.15;141.02;-0.78;-8.52;-12.16;-48.96;56.54;13.19;9.13
&nbspP/Ativos;2.69;1.13;3.62;2.19;1.30;1.81;1.41;0.76;0.69;1.42;2.41;3.44;3.47;1.85;1.67
&nbspEbitda;72;-18;84;169;139;139;181;5;-333;-57;-58;-16;25;56;72
&nbspMarg. Ebitda;51%;-8%;37%;50%;32%;33%;36%;2%;-163%;-39%;-52%;-15%;17%;34%;39%
&nbspPSR;11.86;1.41;5.39;6.37;3.40;5.10;3.28;2.41;1.27;3.29;6.30;7.29;9.57;4.43;3.53
&nbspROE;196%;-1.667%;358%;40%;29%;21%;23%;0%;-305%;-21%;-81%;-224%;-2%;9%;16%
&nbspROA;9%;-17%;20%;13%;13%;11%;14%;0%;-118%;-9%;-21%;-20%;-1%;4%;7%
&nbspROIC;11%;-15%;23%;21%;10%;8%;12%;-6%;-124%;-13%;-32%;-16%;2%;14%;20%
&nbspEV/EBIT;10.54;-16.48;9.11;2.82;4.97;6.23;4.47;-10.69;-1.66;-17.92;-8.37;-20.55;136.51;15.39;10.95
&nbspEV/EBITDA;10.27;-38.24;8.25;2.46;3.30;3.67;2.97;109.45;-1.91;-10.99;-11.35;-41.80;21.96;9.95;7.58
&nbspDiv. Yield;0,00%;10,76%;0,00%;2,13%;1,77%;1,69%;2,15%;5,69%;0,44%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;-92%;18%;47%;26%;36%;29%;-2.700%;-7%;-47%;-16%;-28%;-500%;147%;89%
&nbspBeta;0.50;0.46;0.51;0.60;0.66;0.44;0.38;0.42;0.75;0.67;1.21;0.71;1.15;1.43;1.24
&nbspValorização;50%;-82%;264%;72%;-36%;47%;-22%;-53%;-64%;76%;51%;8%;51%;-47%;-6%
&nbspNegócios/dia;57;45;69;91;331;476;1104;829;418;144;520;637;1333;2615;2038
&nbspVolume diário;3;3;2;3;5;5;6;3;1;0;1;1;3;7;5
