Unnamed: 0;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.87;1.32;1.37;1.62;2.53;2.74;2.87;3.25;3.72;0.91;0.97;1.03;1.42;1.38;1.38;1.18
&nbspP/L;35.21;27.19;11.41;24.31;22.33;17.64;27.82;18.78;20.55;18.83;23.82;34.49;29.90;40.60;31.58;37.45
&nbspVPA;4.47;4.79;5.85;6.38;8.34;9.40;10.51;11.86;14.56;3.61;4.10;4.52;5.49;5.91;6.91;6.74
&nbspP/VP;6.87;7.52;2.68;6.16;6.76;5.15;7.59;5.14;5.25;4.74;5.66;7.85;7.72;9.50;6.30;6.56
&nbspP/EBIT;26.29;18.87;7.97;16.92;17.04;12.57;17.71;11.80;12.13;11.71;15.28;23.27;21.44;27.19;40.38;53.20
&nbspP/EBITDA;20.81;15.52;6.35;13.43;14.37;10.43;14.31;9.39;9.60;9.13;11.59;17.87;17.56;18.83;21.02;24.04
&nbspP/Ativos;3.11;3.17;1.22;2.49;2.81;1.99;2.63;1.70;1.83;1.87;2.30;3.35;3.46;3.79;2.37;2.39
&nbspEbitda;179;282;300;357;480;570;692;818;1015;1198;1287;1416;1738;2374;1648;1463
&nbspMarg. Ebitda;12%;15%;14%;15%;17%;18%;18%;19%;19%;19%;20%;19%;21%;25%;22%;20%
&nbspPSR;2.60;2.27;0.87;2.03;2.51;1.84;2.56;1.76;1.87;1.78;2.31;3.40;3.62;4.66;4.60;4.85
&nbspROE;20%;28%;23%;25%;30%;29%;27%;27%;26%;25%;24%;23%;26%;23%;20%;18%
&nbspROA;9%;12%;11%;10%;13%;11%;9%;9%;9%;10%;10%;10%;12%;9%;7%;6%
&nbspROIC;14%;21%;17%;17%;28%;24%;21%;20%;20%;20%;20%;20%;22%;18%;8%;6%
&nbspEV/EBIT;256.72;157.25;153.59;129.96;89.71;77.42;66.18;57.36;46.68;40.18;38.26;34.09;25.91;22.28;43.21;56.04
&nbspEV/EBITDA;203.21;129.36;122.34;103.13;75.65;64.22;53.44;45.66;36.94;31.32;29.02;26.19;21.23;15.43;22.50;25.32
&nbspDiv. Yield;8,14%;1,56%;6,25%;1,12%;2,43%;3,99%;2,62%;3,20%;1,84%;9,36%;1,94%;1,10%;1,06%;0,89%;0,73%;0,84%
&nbspDiv. Payout;70%;72%;2%;23%;47%;69%;71%;64%;33%;31%;38%;34%;28%;37%;22%;25%
&nbspBeta;0.87;0.89;0.96;0.99;0.86;1.21;0.83;0.74;0.73;0.82;0.84;1.04;1.05;1.02;1.11;1.10
&nbspValorização;110%;15%;-54%;140%;44%;-12%;62%;-22%;32%;15%;47%;71%;22%;30%;-24%;5%
&nbspNegócios/dia;220;1015;1568;2527;2949;3919;3909;4005;3603;5687;11453;10541;13087;15134;30538;30640
&nbspVolume diário;13;32;31;32;50;57;58;59;49;76;75;87;118;185;359;395
