Unnamed: 0;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.66;-0.99;-1.81;0.38;-1.51;-5.01;-3.56;-2.40;-0.13;-7.88;0.64;-0.43;-6.23;-1.11;0.80;1.64
&nbspP/L;48.67;-60.56;-12.95;71.91;-12.78;-0.89;-0.46;-0.28;-0.52;-0.26;6.31;-6.81;-0.29;-1.73;3.03;3.76
&nbspVPA;5.37;5.40;4.06;6.02;3.86;-0.90;-1.20;-3.57;0.02;9.90;4.68;11.92;8.20;4.40;5.33;5.18
&nbspP/VP;5.96;11.12;5.77;4.51;5.00;-4.94;-1.37;-0.19;3.46;0.21;0.86;0.24;0.22;0.44;0.45;1.19
&nbspP/EBIT;34.76;118.59;9.52;41.75;48.42;-16.33;-0.86;-0.72;-1.57;-0.07;-0.42;-3.03;-0.52;-2.16;10.59;0.00
&nbspP/EBITDA;28.13;32.25;5.87;19.58;19.21;9.46;-0.96;-1.13;-2.09;-0.09;-0.91;1.97;-0.68;-3.22;5.14;30.28
&nbspP/Ativos;2.57;2.57;0.69;0.88;0.64;0.14;0.16;0.07;0.32;0.02;0.06;0.05;0.05;0.09;0.13;0.33
&nbspEbitda;52;88;190;66;48;22;-269;-94;-157;-229;-42;14;-44;-13;12;5
&nbspMarg. Ebitda;23%;23%;27%;12%;8%;4%;-43%;-17%;-35%;-85%;-30%;12%;-35%;-42%;23%;9%
&nbspPSR;6.55;7.37;1.58;2.33;1.58;0.37;0.41;0.19;0.74;0.07;0.27;0.24;0.24;1.35;1.18;2.74
&nbspROE;12%;-18%;-45%;6%;-39%;556%;296%;67%;-663%;-80%;14%;-4%;-76%;-25%;15%;32%
&nbspROA;5%;-4%;-5%;1%;-5%;-16%;-34%;-27%;-62%;-9%;1%;-1%;-17%;-5%;4%;9%
&nbspROIC;8%;2%;7%;2%;1%;-1%;-20%;-11%;-23%;-37%;-15%;-2%;-10%;-4%;1%;0%
&nbspEV/EBIT;10.53;35.31;11.71;39.60;36.23;-70.34;-3.13;-6.42;-2.17;-1.26;-3.72;-38.49;-6.24;-16.22;47.74;0.00
&nbspEV/EBITDA;8.52;9.60;7.22;18.57;14.38;40.75;-3.49;-10.05;-2.88;-1.53;-8.05;25.02;-8.17;-24.20;23.18;53.42
&nbspDiv. Yield;0,00%;0,22%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;40%;-11%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.47;0.76;0.85;0.59;0.99;1.03;0.60;0.91;1.00;0.54;1.13;0.77;0.61;0.61;0.89;0.62
&nbspValorização;37%;81%;-61%;15%;-33%;-77%;-64%;-59%;-89%;-94%;78%;-28%;-36%;-2%;12%;158%
&nbspNegócios/dia;153;138;212;525;416;559;301;395;343;35;159;196;162;184;622;3481
&nbspVolume diário;8;8;10;8;5;4;1;2;1;0;1;1;0;0;1;17
