Unnamed: 0;2020;2021
&nbspLPA;0.17;0.03
&nbspP/L;460.47;928.23
&nbspVPA;5.35;5.84
&nbspP/VP;15.05;4.73
&nbspP/EBIT;225.12;339.60
&nbspP/EBITDA;100.52;124.18
&nbspP/Ativos;6.98;3.57
&nbspEbitda;101;112
&nbspMarg. Ebitda;21%;21%
&nbspPSR;20.76;25.59
&nbspROE;3%;1%
&nbspROA;2%;0%
&nbspROIC;4%;3%
&nbspEV/EBIT;336.28;331.32
&nbspEV/EBITDA;150.15;121.15
&nbspDiv. Yield;0,16%;0,47%
&nbspDiv. Payout;73%;107%
&nbspBeta;0.99;0.62
&nbspValorização;291%;37%
&nbspNegócios/dia;6611;23094
&nbspVolume diário;72;233
