Unnamed: 0;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.01;0.72;1.90;3.06;3.12;3.24;4.16;4.64;5.30;5.35;6.95;2.49;2.14;1.64;2.26;1.89
&nbspP/L;24.74;34.53;10.40;13.71;12.66;14.71;18.77;21.57;17.18;12.44;16.56;20.93;20.01;23.22;15.09;17.07
&nbspVPA;7.53;8.40;10.63;12.97;15.51;17.67;21.24;24.86;28.96;32.88;38.35;14.72;16.40;17.80;19.60;19.70
&nbspP/VP;3.32;2.96;1.86;3.24;2.55;2.70;3.68;4.02;3.14;2.02;3.00;3.54;2.61;2.14;1.74;1.64
&nbspP/EBIT;17.83;24.00;7.94;11.55;10.82;12.98;16.26;19.59;15.46;12.93;16.22;21.05;19.29;23.99;16.15;20.68
&nbspP/EBITDA;0.00;13.63;5.95;10.09;9.61;11.24;14.25;16.84;13.40;10.94;14.14;18.28;15.55;16.75;11.85;13.79
&nbspP/Ativos;1.79;1.70;0.95;2.10;1.90;1.77;2.59;2.92;2.31;1.47;2.29;2.90;1.86;1.60;1.19;1.05
&nbspEbitda;0;208;378;472;466;481;622;674;770;687;919;966;933;772;974;793
&nbspMarg. Ebitda;0%;14%;17%;20%;19%;17%;18%;16%;17%;15%;17%;18%;15%;13%;13%;11%
&nbspPSR;2.15;1.88;1.03;2.03;1.83;1.86;2.50;2.63;2.25;1.63;2.44;3.26;2.41;2.12;1.59;1.54
&nbspROE;13%;9%;18%;24%;20%;18%;20%;19%;18%;16%;18%;17%;13%;9%;12%;10%
&nbspROA;7%;5%;9%;15%;15%;12%;14%;14%;13%;12%;14%;14%;9%;7%;8%;6%
&nbspROIC;10%;7%;12%;19%;18%;15%;17%;17%;17%;13%;17%;17%;10%;7%;9%;6%
&nbspEV/EBIT;71.35;97.19;41.95;27.78;26.96;27.38;20.58;19.35;16.65;19.52;13.39;12.34;15.61;21.44;15.80;21.64
&nbspEV/EBITDA;0.00;55.21;31.44;24.26;23.93;23.73;18.04;16.63;14.44;16.52;11.66;10.72;12.58;14.97;11.60;14.43
&nbspDiv. Yield;0,00%;0,00%;1,36%;0,67%;1,70%;3,23%;1,29%;1,03%;1,33%;1,83%;1,35%;1,07%;0,96%;0,66%;1,35%;1,74%
&nbspDiv. Payout;0%;52%;14%;9%;21%;24%;18%;22%;19%;32%;17%;21%;18%;25%;11%;13%
&nbspBeta;0.11;0.35;0.40;0.33;0.38;0.55;0.26;0.21;0.32;0.54;0.49;0.70;0.60;0.69;0.77;0.70
&nbspValorização;18%;-2%;-18%;108%;-1%;24%;70%;30%;-7%;-24%;79%;41%;-14%;-15%;-12%;-4%
&nbspNegócios/dia;112;68;40;34;49;221;597;889;656;773;919;2371;3032;3825;7041;6324
&nbspVolume diário;4;3;2;1;4;4;10;17;11;11;15;26;25;29;46;38
