Unnamed: 0;2020;2021
&nbspLPA;-1.21;-0.64
&nbspP/L;-9.56;-16.01
&nbspVPA;11.77;11.98
&nbspP/VP;0.99;0.85
&nbspP/EBIT;-13.68;-16.95
&nbspP/EBITDA;-14.52;-18.69
&nbspP/Ativos;0.47;0.40
&nbspEbitda;-68;-46
&nbspMarg. Ebitda;-13%;-8%
&nbspPSR;1.92;1.42
&nbspROE;-10%;-5%
&nbspROA;-5%;-2%
&nbspROIC;-4%;-3%
&nbspEV/EBIT;-13.31;-17.56
&nbspEV/EBITDA;-14.13;-19.36
&nbspDiv. Yield;0,00%;0,00%
&nbspDiv. Payout;0%;0%
&nbspBeta;1.38;0.92
&nbspValorização;-37%;-14%
&nbspNegócios/dia;1835;1276
&nbspVolume diário;7;3
