Unnamed: 0;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-1.16;-0.27;0.02;0.03;-0.05;-1.66;-1.69
&nbspP/L;-3.50;-18.73;497.71;225.60;-171.82;-2.54;-2.41
&nbspVPA;14.25;3.63;3.50;3.54;4.00;4.12;4.05
&nbspP/VP;0.28;1.37;2.48;2.00;2.10;1.02;1.00
&nbspP/EBIT;-5.04;-29.05;82.95;78.09;48.11;-2.16;-2.07
&nbspP/EBITDA;-4.58;-26.04;107.10;94.15;53.85;-2.66;-2.68
&nbspP/Ativos;0.15;0.95;1.65;1.24;0.90;0.44;0.42
&nbspEbitda;-75;-55;23;22;45;-454;-435
&nbspMarg. Ebitda;-5%;-4%;2%;1%;3%;-39%;-39%
&nbspPSR;0.21;0.92;1.67;1.28;1.50;1.05;1.05
&nbspROE;-8%;-7%;0%;1%;-1%;-40%;-42%
&nbspROA;-4%;-5%;0%;1%;-1%;-17%;-17%
&nbspROIC;-4%;-4%;2%;2%;2%;-27%;-27%
&nbspEV/EBIT;-19.41;-24.24;41.22;49.14;29.55;-2.49;-2.45
&nbspEV/EBITDA;-17.61;-21.73;53.22;59.24;33.08;-3.05;-3.17
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,14%;0,12%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;-7%;0%;0%
&nbspBeta;0.70;0.24;0.40;0.58;0.27;1.18;1.25
&nbspValorização;-39%;20%;79%;-22%;21%;-53%;-1%
&nbspNegócios/dia;568;668;1523;1888;1966;10390;5842
&nbspVolume diário;2;2;5;6;7;42;23
