Unnamed: 0;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.07;-0.03;0.63;0.73;-2.97;3.96;2.05;3.14;0.57;0.06;0.10
&nbspP/L;136.86;-377.65;11.98;10.54;-5.94;26.81;39.10;57.61;83.96;412.59;220.71
&nbspVPA;3.32;3.30;3.77;4.21;30.26;32.22;10.88;12.08;4.66;1.13;1.12
&nbspP/VP;2.87;3.68;2.00;1.83;0.58;3.30;7.38;14.99;10.25;22.14;18.85
&nbspP/EBIT;8.31;15.21;3.69;2.81;1.14;4.02;17.22;31.89;60.12;196.54;115.66
&nbspP/EBITDA;5.92;9.37;2.91;2.28;0.83;3.26;14.83;27.71;43.65;106.18;72.52
&nbspP/Ativos;0.36;0.40;0.29;0.26;0.07;0.38;2.06;3.92;3.92;6.58;6.06
&nbspEbitda;301;242;477;605;465;715;1031;1245;1776;1527;1890
&nbspMarg. Ebitda;5%;3%;6%;6%;5%;8%;9%;8%;9%;5%;6%
&nbspPSR;0.28;0.30;0.17;0.14;0.04;0.25;1.28;2.21;3.90;5.56;4.26
&nbspROE;2%;-1%;17%;17%;-10%;12%;19%;26%;12%;5%;9%
&nbspROA;0%;0%;2%;2%;-1%;1%;5%;7%;5%;2%;3%
&nbspROIC;6%;4%;16%;19%;13%;24%;31%;29%;14%;6%;8%
&nbspEV/EBIT;659.65;948.58;375.67;287.70;415.91;242.91;157.55;129.53;106.13;169.07;119.09
&nbspEV/EBITDA;469.61;584.53;296.17;233.87;304.29;197.51;135.73;112.55;77.05;91.34;74.66
&nbspDiv. Yield;0,00%;0,08%;0,00%;2,33%;1,08%;0,00%;1,77%;0,47%;1,01%;0,48%;0,57%
&nbspDiv. Payout;0%;-33%;0%;24%;-51%;0%;8%;19%;20%;76%;48%
&nbspBeta;0.85;0.68;0.97;0.64;0.86;0.82;1.56;1.17;1.16;1.17;0.60
&nbspValorização;-43%;30%;-41%;10%;-68%;471%;533%;129%;106%;103%;-16%
&nbspNegócios/dia;1495;1323;2542;2580;1912;816;3766;6779;15909;49944;54231
&nbspVolume diário;9;6;7;7;3;7;78;189;320;882;696
