Unnamed: 0;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.84;0.75;1.21;1.37;0.52;-0.77;-0.57;-0.78;-0.54;-0.17;-0.01;0.02
&nbspP/L;24.62;23.66;28.09;24.16;18.36;-3.45;-6.87;-5.28;-7.99;-59.82;-774.76;366.59
&nbspVPA;5.22;5.86;6.80;7.98;8.35;7.65;5.68;4.82;4.27;4.40;4.35;4.39
&nbspP/VP;3.95;3.02;5.00;4.14;1.14;0.35;0.69;0.86;1.00;2.38;1.41;1.99
&nbspP/EBIT;17.47;13.73;17.12;14.80;7.62;-5.23;-5.82;-3.85;-5.96;-62.67;103.30;68.74
&nbspP/EBITDA;13.29;9.34;11.99;9.99;3.71;3.22;-2.48;-16.73;2773.09;22.07;9.46;12.40
&nbspP/Ativos;2.80;1.73;2.58;2.33;0.64;0.20;0.45;0.59;0.74;1.91;1.05;1.47
&nbspEbitda;195;238;359;421;326;104;-277;-43;0;119;164;177
&nbspMarg. Ebitda;35%;35%;41%;48%;41%;18%;-70%;-15%;0%;27%;32%;33%
&nbspPSR;4.71;3.29;4.89;4.76;1.53;0.58;1.73;2.49;2.47;6.00;3.06;4.12
&nbspROE;16%;13%;18%;17%;6%;-10%;-10%;-16%;-13%;-4%;0%;1%
&nbspROA;11%;7%;9%;10%;3%;-6%;-7%;-11%;-9%;-3%;0%;0%
&nbspROIC;20%;13%;18%;16%;9%;-5%;-10%;-17%;-14%;-3%;1%;3%
&nbspEV/EBIT;14.32;15.46;10.15;9.63;16.86;-39.33;-19.06;-12.22;-17.37;-51.31;134.27;62.55
&nbspEV/EBITDA;10.89;10.51;7.11;6.50;8.22;24.19;-8.11;-53.12;8073.90;18.07;12.29;11.28
&nbspDiv. Yield;0,97%;1,13%;0,53%;1,48%;2,41%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;14%;26%;14%;24%;70%;-22%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.50;0.65;0.24;0.39;0.71;0.71;1.10;1.37;0.91;0.65;1.08;0.95
&nbspValorização;79%;-15%;99%;1%;-70%;-72%;53%;5%;1%;146%;-39%;43%
&nbspNegócios/dia;188;545;1130;1604;2206;1557;1770;1430;1113;2071;3772;4350
&nbspVolume diário;6;6;10;14;13;4;4;3;2;7;12;12
