Unnamed: 0;2017;2018;2019;2020;2021
&nbspLPA;0.31;0.61;0.77;0.37;1.12
&nbspP/L;22.46;13.98;24.96;55.61;17.30
&nbspVPA;6.01;6.29;7.69;7.89;7.86
&nbspP/VP;1.17;1.37;2.48;2.62;2.47
&nbspP/EBIT;5.97;5.95;12.19;20.24;8.59
&nbspP/EBITDA;4.60;4.70;7.66;5.91;4.23
&nbspP/Ativos;0.38;0.44;0.79;0.73;0.44
&nbspEbitda;327;482;747;1045;1370
&nbspMarg. Ebitda;13%;19%;19%;26%;35%
&nbspPSR;0.61;0.89;1.49;1.51;1.49
&nbspROE;5%;10%;10%;5%;14%
&nbspROA;2%;3%;3%;1%;3%
&nbspROIC;10%;11%;10%;6%;7%
&nbspEV/EBIT;27.41;19.11;16.90;28.01;17.73
&nbspEV/EBITDA;21.13;15.12;10.62;8.18;8.73
&nbspDiv. Yield;0,00%;4,19%;0,84%;0,63%;1,65%
&nbspDiv. Payout;127%;14%;39%;50%;10%
&nbspBeta;0.65;0.85;1.09;1.27;0.98
&nbspValorização;-3%;23%;113%;6%;-3%
&nbspNegócios/dia;2298;2227;4637;9933;8290
&nbspVolume diário;11;6;21;45;41
