Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.43;-0.09;1.98;0.40;-2.16;-0.49;-1.72;-1.38;-1.04;-1.30;-0.71;3.47;2.23;6.37;7.13
&nbspP/L;35.34;-80.17;9.64;38.37;-3.95;-17.26;-2.32;-4.41;-6.13;-5.07;-10.24;1.57;4.48;2.28;2.68
&nbspVPA;6.40;10.28;12.12;11.56;9.89;9.04;5.99;3.98;1.62;2.11;4.24;6.46;2.50;4.94;5.58
&nbspP/VP;2.38;0.73;1.58;1.34;0.86;0.94;0.67;1.53;3.92;3.13;1.73;0.85;3.99;2.94;3.42
&nbspP/EBIT;9.40;2.76;12.15;6.13;2.86;3.46;2.34;2.93;2.55;24.97;4.09;8.02;2.08;1.31;1.65
&nbspP/EBITDA;0.00;2.27;8.08;3.58;1.66;2.04;1.49;1.90;1.91;12.52;2.90;3.15;1.54;1.12;1.40
&nbspP/Ativos;0.72;0.22;0.58;0.24;0.12;0.16;0.12;0.16;0.16;0.17;0.21;0.13;0.22;0.26;0.33
&nbspEbitda;0;884;820;1502;1774;1981;1397;1668;1728;275;1566;1075;4610;9247;9691
&nbspMarg. Ebitda;0%;14%;9%;9%;8%;8%;7%;8%;8%;5%;8%;4%;9%;14%;14%
&nbspPSR;0.93;0.32;0.69;0.34;0.13;0.17;0.10;0.15;0.16;0.58;0.24;0.11;0.15;0.15;0.19
&nbspROE;7%;-1%;16%;3%;-22%;-5%;-29%;-35%;-64%;-62%;-17%;54%;89%;129%;128%
&nbspROA;2%;0%;6%;1%;-3%;-1%;-5%;-4%;-3%;-3%;-2%;8%;5%;11%;12%
&nbspROIC;8%;9%;5%;5%;6%;6%;6%;7%;9%;1%;8%;2%;17%;31%;29%
&nbspEV/EBIT;47.29;24.68;34.37;22.13;21.11;19.67;23.41;20.39;16.03;141.23;19.46;51.13;8.03;3.73;3.91
&nbspEV/EBITDA;0.00;20.23;22.86;12.90;12.28;11.58;14.93;13.26;12.01;70.84;13.82;20.11;5.95;3.17;3.32
&nbspDiv. Yield;1,18%;0,00%;2,56%;0,90%;0,12%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,05%
&nbspDiv. Payout;0%;0%;0%;71%;-8%;-6%;0%;0%;0%;0%;-3%;21%;131%;28%;28%
&nbspBeta;0.70;0.58;0.62;0.74;1.16;0.99;0.81;1.30;0.81;0.48;0.81;0.71;0.66;1.03;0.33
&nbspValorização;-16%;-51%;161%;-20%;-45%;-6%;-55%;58%;12%;6%;14%;-25%;76%;44%;35%
&nbspNegócios/dia;153;205;876;2589;3653;4609;6508;5612;6374;6972;5669;7561;13792;29133;25269
&nbspVolume diário;7;6;10;27;33;28;25;14;15;17;14;22;47;180;168
