Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.88;0.79;1.40;1.70;1.21;0.95;1.68;1.35;1.29;1.58;1.71;1.68;1.29;1.33
&nbspP/L;5.22;17.96;11.16;6.28;9.93;8.86;4.45;6.42;8.45;9.54;7.24;12.80;14.68;12.25
&nbspVPA;12.04;5.23;6.33;7.65;8.56;9.21;10.48;11.44;12.24;13.05;10.97;11.50;12.52;12.57
&nbspP/VP;0.81;2.70;2.47;1.40;1.40;0.91;0.72;0.76;0.89;1.15;1.13;1.87;1.51;1.30
&nbspP/EBIT;5.16;17.49;11.24;5.74;8.91;8.52;4.75;7.67;10.66;10.01;7.40;12.92;12.79;10.85
&nbspP/EBITDA;4.95;16.90;11.02;5.63;8.54;7.91;4.52;7.15;9.79;9.33;6.81;11.56;11.09;9.10
&nbspP/Ativos;0.50;1.56;1.11;0.56;0.51;0.39;0.31;0.34;0.39;0.46;0.40;0.65;0.51;0.42
&nbspEbitda;269;402;684;912;669;505;740;535;496;716;806;828;823;865
&nbspMarg. Ebitda;24%;24%;23%;23%;16%;13%;18%;11%;12%;15%;15%;14%;12%;13%
&nbspPSR;1.20;4.12;2.49;1.28;1.34;1.03;0.80;0.80;1.14;1.40;1.01;1.58;1.37;1.17
&nbspROE;16%;15%;22%;22%;14%;10%;16%;12%;11%;12%;16%;15%;10%;11%
&nbspROA;10%;9%;10%;9%;5%;4%;7%;5%;5%;5%;6%;5%;3%;3%
&nbspROIC;10%;9%;12%;11%;7%;5%;8%;5%;4%;5%;6%;5%;4%;4%
&nbspEV/EBIT;33.43;23.16;13.84;11.13;16.14;20.88;13.47;17.74;19.19;16.43;13.84;14.48;16.48;16.00
&nbspEV/EBITDA;32.11;22.37;13.57;10.91;15.47;19.41;12.82;16.54;17.63;15.31;12.75;12.96;14.29;13.42
&nbspDiv. Yield;0,82%;2,70%;2,11%;1,68%;3,17%;3,08%;4,00%;4,49%;3,20%;4,26%;8,33%;1,72%;1,79%;5,02%
&nbspDiv. Payout;4%;13%;12%;18%;31%;28%;19%;29%;27%;40%;60%;66%;26%;41%
&nbspBeta;1.41;1.24;1.30;1.44;1.38;1.31;1.03;0.86;0.55;0.86;0.97;1.00;1.14;1.03
&nbspValorização;-74%;291%;17%;-33%;9%;-25%;0%;26%;35%;42%;-12%;74%;-13%;-11%
&nbspNegócios/dia;564;1788;5102;8183;11422;10979;9212;8078;11361;10199;9879;16848;17885;13826
&nbspVolume diário;16;26;48;59;65;43;28;21;32;45;43;88;93;72
