Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;3.07;2.46;2.15;18000.00;2.46;2.36;2.05;1.86;1.64;1.42;1.86;2.08;6.35;7.55
&nbspP/L;6.35;10.94;12.23;0.00;8.54;7.75;6.71;4.51;6.16;11.35;7.96;11.30;5.03;7.15
&nbspVPA;13.21;14.75;15.98;166000.00;18.23;18.74;19.66;22.11;23.09;23.97;25.17;26.38;30.43;31.52
&nbspP/VP;1.48;1.82;1.65;0.00;1.15;0.97;0.70;0.38;0.44;0.67;0.59;0.89;1.05;1.71
&nbspP/EBIT;3.73;10.51;9.88;0.00;7.89;6.85;7.07;6.98;23.12;18.45;7.96;11.92;4.11;6.33
&nbspP/EBITDA;3.56;7.94;7.98;0.00;6.58;5.56;5.19;4.08;8.75;9.35;5.48;7.65;3.71;5.81
&nbspP/Ativos;0.89;1.20;1.00;0.00;0.79;0.51;0.33;0.18;0.29;0.54;0.49;0.70;0.82;1.19
&nbspEbitda;54;33;32;27;31;32;26;19;11;16;25;28;79;85
&nbspMarg. Ebitda;22%;18%;16%;13%;14%;13%;11%;9%;5%;7%;9%;10%;21%;21%
&nbspPSR;0.78;1.40;1.29;0.00;0.92;0.72;0.57;0.35;0.42;0.61;0.50;0.75;0.80;1.22
&nbspROE;23%;17%;13%;11%;13%;13%;10%;8%;7%;6%;7%;8%;21%;24%
&nbspROA;14%;11%;8%;6%;9%;7%;5%;4%;5%;5%;6%;6%;16%;17%
&nbspROIC;30%;16%;16%;11%;15%;14%;10%;5%;2%;4%;8%;8%;28%;27%
&nbspEV/EBIT;8.37;16.28;15.38;21.89;15.42;15.42;21.68;37.27;100.98;49.74;23.29;21.27;5.01;5.61
&nbspEV/EBITDA;7.97;12.31;12.43;15.52;12.87;12.52;15.93;21.81;38.22;25.21;16.04;13.65;4.53;5.15
&nbspDiv. Yield;3,18%;3,35%;3,73%;3,30%;5,00%;5,75%;7,64%;6,55%;0,00%;3,41%;0,00%;0,00%;0,00%;0,61%
&nbspDiv. Payout;13%;25%;33%;78%;38%;39%;45%;24%;27%;31%;29%;32%;10%;9%
&nbspBeta;0.06;0.19;0.22;-0.01;0.54;-0.01;0.16;0.00;0.24;0.53;0.29;0.34;0.73;0.35
&nbspValorização;-18%;37%;4%;5%;-22%;-10%;-17%;-32%;13%;65%;-9%;56%;33%;70%
&nbspNegócios/dia;4;2;3;2;4;8;5;5;7;20;23;24;27;22
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;0;0
