Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.92;1.28;1.73;2.18;1.51;1.95;1.91;1.65;1.84;0.79;0.78;1.60;1.39
&nbspP/L;35.24;28.87;22.12;27.66;33.15;24.36;19.89;36.04;38.48;30.88;42.22;14.66;16.62
&nbspVPA;15.71;16.55;17.95;17.89;20.10;21.42;22.04;23.45;25.97;8.91;9.31;10.38;10.45
&nbspP/VP;2.07;2.23;2.13;3.37;2.48;2.22;1.72;2.53;2.73;2.73;3.56;2.27;2.21
&nbspP/EBIT;21.62;21.61;17.32;19.94;19.47;14.31;11.50;17.25;22.32;19.79;28.21;12.33;14.65
&nbspP/EBITDA;19.13;18.88;15.06;17.52;15.56;11.45;9.24;13.91;17.36;15.55;21.50;10.32;11.98
&nbspP/Ativos;1.59;1.66;1.46;1.90;1.48;1.35;1.03;1.42;1.64;1.65;2.08;1.34;1.32
&nbspEbitda;304;350;455;616;609;787;781;811;818;939;925;1369;1156
&nbspMarg. Ebitda;63%;58%;67%;64%;63%;71%;73%;73%;71%;76%;71%;127%;113%
&nbspPSR;12.06;10.95;10.14;11.23;9.74;8.10;6.78;10.17;12.28;11.88;15.24;13.08;13.56
&nbspROE;6%;8%;10%;12%;7%;9%;9%;7%;7%;9%;8%;15%;13%
&nbspROA;4%;6%;7%;7%;4%;6%;5%;4%;4%;5%;5%;9%;8%
&nbspROIC;10%;10%;10%;11%;8%;10%;10%;9%;8%;9%;8%;12%;10%
&nbspEV/EBIT;51.63;45.94;37.25;29.29;33.26;25.77;25.87;25.78;25.60;22.22;23.60;14.26;17.11
&nbspEV/EBITDA;45.69;40.14;32.40;25.74;26.58;20.63;20.79;20.79;19.90;17.46;17.99;11.93;14.00
&nbspDiv. Yield;0,43%;0,92%;2,98%;1,61%;2,10%;1,73%;3,45%;0,84%;1,71%;4,85%;1,39%;0,00%;0,00%
&nbspDiv. Payout;12%;26%;38%;39%;92%;26%;50%;37%;22%;64%;48%;15%;18%
&nbspBeta;0.58;0.65;0.52;0.38;0.49;0.77;0.91;0.65;0.89;0.91;0.91;1.15;1.21
&nbspValorização;161%;11%;9%;58%;-15%;-2%;-12%;59%;22%;4%;34%;-30%;2%
&nbspNegócios/dia;267;702;1022;1469;1937;2630;4555;4427;4371;7961;14347;23951;22840
&nbspVolume diário;7;11;9;17;27;32;39;40;52;56;80;142;160
