Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-5.36;-1.89;0.70;1.07;-0.90;-0.15;1.95;1.37;1.11;1.39;4.53;1.18;1.75;2.38;1.13;2.25;1.26;1.29;0.96;0.58;2.05;2.76;-2.73;-2.41
&nbspP/L;-6.53;-25.45;45.12;22.85;-20.93;-405.89;125.40;9.47;13.98;30.93;1.93;21.56;13.77;10.62;24.17;11.62;9.70;9.54;12.15;39.85;11.64;8.48;-5.69;-6.61
&nbspVPA;8.76;6.66;6.17;6.62;5.90;5.67;6.99;4.32;4.98;5.82;9.32;10.16;8.21;9.70;11.52;15.27;16.96;25.96;21.26;18.74;21.24;22.74;24.73;26.99
&nbspP/VP;3.99;7.21;5.13;3.70;3.20;10.75;35.06;3.00;3.11;7.38;0.94;2.50;2.93;2.60;2.37;1.71;0.72;0.47;0.55;1.23;1.12;1.03;0.63;0.59
&nbspP/EBIT;-16.61;27.05;10.46;7.05;10.69;31.22;61.52;4.37;7.17;18.02;1.79;12.71;8.73;6.65;9.27;5.45;2.76;2.59;2.30;6.49;5.11;5.31;-12.88;-53.20
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.75;5.87;14.58;1.55;8.69;7.32;5.81;5.63;3.72;1.75;1.55;1.39;4.04;3.39;3.28;6.40;4.57
&nbspP/Ativos;1.52;2.00;1.31;1.28;1.26;3.77;10.33;1.03;1.19;2.66;0.37;0.87;1.10;0.96;0.45;0.41;0.18;0.15;0.16;0.41;0.40;0.38;0.19;0.18
&nbspEbitda;0;0;0;0;0;0;0;184;141;157;268;139;312;411;460;666;658;751;796;799;1057;1096;372;535
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;12%;11%;12%;15%;11%;14%;14%;8%;11%;11%;11%;12%;11%;11%;11%;4%;6%
&nbspPSR;1.23;2.11;1.38;1.78;1.22;2.41;5.94;0.46;0.66;1.78;0.23;0.92;1.03;0.82;0.45;0.40;0.20;0.17;0.16;0.43;0.37;0.36;0.27;0.25
&nbspROE;-61%;-28%;11%;16%;-15%;-3%;28%;32%;22%;24%;49%;12%;21%;25%;10%;15%;7%;5%;5%;3%;10%;12%;-11%;-9%
&nbspROA;-23%;-8%;3%;6%;-6%;-1%;8%;11%;9%;9%;19%;4%;8%;9%;2%;4%;2%;2%;1%;1%;3%;5%;-3%;-3%
&nbspROIC;-10%;8%;14%;19%;13%;13%;19%;26%;18%;16%;22%;7%;16%;19%;6%;10%;9%;7%;8%;8%;10%;9%;-2%;0%
&nbspEV/EBIT;-46.84;57.38;33.81;28.44;54.83;49.52;24.71;16.58;23.17;21.44;12.02;32.56;10.89;8.25;17.70;10.03;11.05;11.38;10.57;9.55;6.80;7.18;-32.21;-141.79
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.21;18.96;17.34;10.40;22.26;9.13;7.21;10.75;6.84;7.02;6.82;6.37;5.94;4.51;4.43;16.01;12.19
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;19,71%;0,00%;0,00%;48,15%;3,55%;1,02%;6,40%;6,56%;1,78%;2,73%;3,36%;2,22%;2,46%;2,44%;1,89%;0,35%;3,23%;0,81%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;47%;30%;12%;141%;12%;29%;80%;27%;114%;70%;108%;86%;42%;48%;-35%;-25%
&nbspBeta;0.00;0.00;0.56;0.39;-0.11;-0.07;0.71;-0.68;0.22;0.31;0.76;0.41;0.64;0.92;0.76;0.49;0.49;0.45;1.13;1.09;0.87;0.69;1.11;0.90
&nbspValorização;77%;55%;-34%;-19%;-15%;209%;289%;11%;0%;169%;-79%;242%;90%;7%;9%;-6%;-51%;6%;4%;99%;6%;-3%;-35%;8%
&nbspNegócios/dia;1;3;2;2;2;3;3;2;2;3;74;173;396;788;1771;1369;1204;2149;2458;3091;3706;4124;8999;8417
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;2;3;6;7;15;10;7;7;7;15;21;21;32;28
