Unnamed: 0;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.71;2.00;2.30;1.40;1.24;0.83;0.27;0.35;0.37;0.42;0.41;0.95;0.54;0.54;0.68;0.74
&nbspP/L;48.45;22.00;9.98;45.70;20.28;32.19;39.05;27.78;26.52;22.48;30.85;16.80;25.54;31.45;21.47;17.51
&nbspVPA;7.69;8.90;9.70;17.62;4.06;4.32;1.32;1.31;1.22;1.24;1.31;1.74;1.94;2.10;2.27;2.45
&nbspP/VP;4.45;4.94;2.37;3.63;6.18;6.15;8.13;7.49;8.07;7.64;9.60;9.13;7.09;8.03;6.41;5.32
&nbspP/EBIT;37.92;23.38;9.98;39.90;38.28;26.11;28.50;19.85;18.90;16.15;23.65;14.68;19.12;23.22;15.01;12.22
&nbspP/EBITDA;0.00;23.06;8.23;38.52;36.62;25.34;27.80;19.47;18.55;15.77;23.15;14.47;18.38;22.00;14.32;11.71
&nbspP/Ativos;3.57;3.67;1.71;2.49;4.87;4.73;5.71;4.87;4.72;4.18;4.93;6.09;4.44;5.07;4.02;3.40
&nbspEbitda;0;49;70;74;121;185;205;268;280;316;289;584;398;407;540;591
&nbspMarg. Ebitda;0%;19%;22%;19%;17%;22%;21%;25%;24%;25%;21%;41%;25%;23%;31%;34%
&nbspPSR;4.79;4.33;1.82;7.48;6.37;5.63;5.97;4.88;4.50;4.00;4.90;5.88;4.59;4.96;4.38;3.93
&nbspROE;9%;22%;24%;8%;30%;19%;21%;27%;30%;34%;31%;54%;28%;26%;30%;30%
&nbspROA;7%;17%;17%;5%;24%;15%;15%;18%;18%;19%;16%;36%;17%;16%;19%;19%
&nbspROIC;10%;16%;18%;6%;15%;23%;26%;33%;33%;36%;31%;62%;33%;32%;44%;49%
&nbspEV/EBIT;299.60;143.56;118.81;97.05;58.27;37.13;33.37;25.22;24.09;21.22;22.84;11.21;16.78;16.44;11.95;10.73
&nbspEV/EBITDA;0.00;141.62;98.00;93.70;55.73;36.04;32.54;24.73;23.65;20.72;22.35;11.05;16.12;15.58;11.40;10.29
&nbspDiv. Yield;0,00%;2,18%;2,43%;6,05%;1,99%;2,22%;5,96%;3,66%;4,06%;4,44%;2,78%;3,27%;2,11%;1,66%;3,57%;5,91%
&nbspDiv. Payout;0%;0%;31%;40%;239%;58%;142%;97%;110%;100%;85%;55%;30%;88%;75%;68%
&nbspBeta;0.43;0.47;0.43;0.43;0.41;0.44;0.33;0.25;0.30;0.41;0.43;0.52;0.45;0.50;0.45;0.46
&nbspValorização;5%;28%;-47%;192%;58%;9%;26%;-7%;6%;5%;44%;34%;-12%;23%;-11%;-11%
&nbspNegócios/dia;598;79;81;108;489;1044;2487;3826;3413;4545;4382;3702;5179;5458;7439;5140
&nbspVolume diário;21;6;4;3;8;9;14;18;14;17;16;15;20;24;27;18
